,B-BL,B-PL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-P,FS-NL,F-MX90
2024-05-19,37.56666666666667,12.533333333333333,186.93333333333334,222.06666666666666,142.83333333333334,245.3,170.16666666666666,79.86666666666666,679.4333333333333,214.03333333333333,751.4
2024-05-20,36.13333333333334,11.066666666666666,173.86666666666667,214.13333333333333,137.66666666666669,234.60000000000002,162.33333333333331,74.73333333333332,667.8666666666666,210.06666666666666,717.8
2024-05-21,34.70000000000001,9.6,160.8,206.2,132.50000000000003,223.90000000000003,154.49999999999997,69.59999999999998,656.2999999999998,206.1,684.1999999999999
2024-05-22,33.26666666666668,8.133333333333333,147.73333333333335,198.26666666666665,127.33333333333336,213.20000000000005,146.66666666666663,64.46666666666664,644.7333333333331,202.13333333333333,650.5999999999999
2024-05-23,31.833333333333346,6.666666666666666,134.66666666666669,190.33333333333331,122.16666666666669,202.50000000000006,138.8333333333333,59.33333333333331,633.1666666666664,198.16666666666666,616.9999999999999
2024-05-24,30.400000000000013,5.199999999999999,121.60000000000002,182.39999999999998,117.00000000000001,191.80000000000007,130.99999999999994,54.199999999999974,621.5999999999997,194.2,583.3999999999999
2024-05-25,28.96666666666668,3.7333333333333325,108.53333333333336,174.46666666666664,111.83333333333334,181.10000000000008,123.16666666666661,49.06666666666664,610.033333333333,190.23333333333332,549.7999999999998
2024-05-26,27.533333333333346,2.2666666666666657,95.4666666666667,166.5333333333333,106.66666666666667,170.4000000000001,115.33333333333329,43.93333333333331,598.4666666666662,186.26666666666665,516.1999999999998
2024-05-27,26.100000000000012,0.7999999999999992,82.40000000000003,158.59999999999997,101.5,159.7000000000001,107.49999999999996,38.799999999999976,586.8999999999995,182.29999999999998,482.5999999999998
2024-05-28,24.66666666666668,0.0,69.33333333333337,150.66666666666663,96.33333333333333,149.0000000000001,99.66666666666663,33.66666666666664,575.3333333333328,178.33333333333331,448.9999999999998
2024-05-29,23.233333333333345,0.0,56.26666666666671,142.7333333333333,91.16666666666666,138.30000000000013,91.8333333333333,28.53333333333331,563.7666666666661,174.36666666666665,415.39999999999975
2024-05-30,21.80000000000001,0.0,43.200000000000045,134.79999999999995,85.99999999999999,127.60000000000012,83.99999999999997,23.399999999999977,552.1999999999994,170.39999999999998,381.7999999999997
2024-05-31,20.366666666666678,0.0,30.13333333333338,126.86666666666662,80.83333333333331,116.90000000000012,76.16666666666664,18.266666666666644,540.6333333333326,166.4333333333333,348.1999999999997
2024-06-01,18.933333333333344,0.0,17.066666666666713,118.93333333333328,75.66666666666664,106.20000000000012,68.33333333333331,13.133333333333312,529.0666666666659,162.46666666666664,314.5999999999997
2024-06-02,17.50000000000001,0.0,4.000000000000046,110.99999999999994,70.49999999999997,95.50000000000011,60.49999999999998,7.999999999999978,517.4999999999992,158.49999999999997,280.99999999999966
2024-06-03,16.066666666666677,0.0,0.0,103.0666666666666,65.3333333333333,84.80000000000011,52.66666666666664,2.866666666666644,505.93333333333254,154.5333333333333,247.39999999999966
2024-06-04,14.633333333333344,0.0,0.0,95.13333333333327,60.166666666666636,74.10000000000011,44.83333333333331,0.0,494.3666666666659,150.56666666666663,213.79999999999967
2024-06-05,13.20000000000001,0.0,0.0,87.19999999999993,54.99999999999997,63.400000000000105,36.99999999999997,0.0,482.7999999999992,146.59999999999997,180.19999999999968
2024-06-06,11.766666666666676,0.0,0.0,79.2666666666666,49.83333333333331,52.7000000000001,29.16666666666664,0.0,471.23333333333255,142.6333333333333,146.59999999999968
2024-06-07,10.333333333333343,0.0,0.0,71.33333333333326,44.66666666666664,42.0000000000001,21.333333333333307,0.0,459.6666666666659,138.66666666666663,112.99999999999969
2024-06-08,8.90000000000001,0.0,0.0,63.39999999999992,39.49999999999998,31.3000000000001,13.499999999999975,0.0,448.0999999999992,134.69999999999996,79.3999999999997
2024-06-09,7.466666666666676,0.0,0.0,55.46666666666658,34.333333333333314,20.6000000000001,5.666666666666642,0.0,436.53333333333256,130.7333333333333,45.79999999999969
2024-06-10,6.033333333333342,0.0,0.0,47.533333333333246,29.166666666666647,9.900000000000102,0.0,0.0,424.9666666666659,126.76666666666662,12.19999999999969
2024-06-11,4.6000000000000085,0.0,0.0,39.59999999999991,23.99999999999998,0.0,0.0,0.0,413.39999999999924,122.79999999999995,0.0
