,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,4,2.17,18.95,39,0.25,156.0,9.0,76.0,12.0,,,0.0,0.0,0.0
1,B-BS,4,1.61,14.95,120,0.25,480.0,6.0,60.0,12.0,,,0.0,0.0,0.0
2,B-NL,11,2.17,18.95,136,0.6875,197.8181818181818,24.0,208.0,33.0,,,0.0,0.0,0.0
3,B-NS,12,1.61,14.95,177,0.75,236.0,19.0,179.0,36.0,,,0.0,0.0,0.0
4,B-PL,9,2.17,18.95,14,0.5625,24.88888888888889,20.0,171.0,27.0,,,0.0,13.0,28.0
5,B-PS,6,1.61,14.95,138,0.375,368.0,10.0,90.0,18.0,,,0.0,0.0,0.0
6,FB-NXL,291,3.27,22.95,0,18.1875,0.0,952.0,6678.0,880.0,2024-05-19,200.0,200.0,680.0,2224.0
7,FB-NL,164,1.58,18.95,230,10.25,22.4390243902439,259.0,3108.0,496.0,,,0.0,266.0,420.0
8,FB-NS,102,1.3,14.95,148,6.375,23.215686274509803,133.0,1525.0,309.0,,,0.0,161.0,209.0
9,FB-PXL,246,3.27,22.95,56,15.375,3.6422764227642275,804.0,5646.0,744.0,2024-05-19,200.0,200.0,488.0,1596.0
10,FB-PL,178,1.58,18.95,178,11.125,16.0,281.0,3373.0,538.0,,,0.0,360.0,569.0
11,FB-PS,108,1.3,14.95,85,6.75,12.592592592592593,140.0,1615.0,327.0,,,0.0,242.0,315.0
12,FD-N,4,2.86,13.95,410,0.25,1640.0,11.0,56.0,12.0,,,0.0,0.0,0.0
13,FD-P,10,2.86,13.95,401,0.625,641.6,29.0,140.0,30.0,,,0.0,0.0,0.0
14,FDN-N,43,2.33,16.95,819,2.6875,304.74418604651163,100.0,729.0,130.0,,,0.0,0.0,0.0
15,FDN-P,61,2.33,16.95,691,3.8125,181.24590163934425,142.0,1034.0,185.0,,,0.0,0.0,0.0
16,FS-NL,21,3.89,22.95,218,1.3125,166.0952380952381,82.0,482.0,64.0,,,0.0,0.0,0.0
17,FS-NS,24,3.51,18.95,408,1.5,272.0,84.0,455.0,73.0,,,0.0,0.0,0.0
18,FS-PL,27,3.89,22.95,348,1.6875,206.22222222222223,105.0,620.0,82.0,,,0.0,0.0,0.0
19,FS-PS,27,3.51,18.95,336,1.6875,199.11111111111111,95.0,512.0,82.0,,,0.0,0.0,0.0
20,FBX-N,19,3.57,22.95,209,1.1875,176.0,68.0,436.0,57.0,,,0.0,0.0,0.0
21,FBX-P,33,3.57,22.95,354,2.0625,171.63636363636363,118.0,757.0,100.0,,,0.0,0.0,0.0
22,FST-C,29,2.7,18.95,165,1.8125,91.03448275862068,78.0,550.0,88.0,,,0.0,0.0,0.0
23,FST-N,23,2.7,18.95,167,1.4375,116.17391304347827,62.0,436.0,70.0,,,0.0,0.0,0.0
24,F-BE90,10,2.1,14.95,213,0.625,340.8,21.0,150.0,30.0,,,0.0,0.0,0.0
25,F-CH90,7,2.1,14.95,176,0.4375,402.2857142857143,15.0,105.0,21.0,,,0.0,0.0,0.0
26,F-DU90,5,2.1,14.95,207,0.3125,662.4,10.0,75.0,15.0,,,0.0,0.0,0.0
27,F-LI90,2,2.1,14.95,186,0.125,1488.0,4.0,30.0,6.0,,,0.0,0.0,0.0
28,F-MX90,186,2.1,14.95,785,11.625,67.52688172043011,391.0,2781.0,563.0,,,0.0,0.0,0.0
29,F-BE,0,1.8,12.95,102,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
30,F-CH,2,1.8,12.95,110,0.125,880.0,4.0,26.0,6.0,,,0.0,0.0,0.0
31,F-DU,1,1.8,12.95,47,0.0625,752.0,2.0,13.0,3.0,,,0.0,0.0,0.0
32,F-LI,0,1.8,12.95,7,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
33,F-MX,69,1.8,12.95,793,4.3125,183.8840579710145,124.0,894.0,209.0,,,0.0,0.0,0.0
34,F-PB,4,1.8,12.95,132,0.25,528.0,7.0,52.0,12.0,,,0.0,0.0,0.0
