,B-PL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS
2024-05-19,13.4375,181.8125,219.75,141.625,240.625,166.875,78.25
2024-05-20,12.875,163.625,209.5,135.25,225.25,155.75,71.5
2024-05-21,12.3125,145.4375,199.25,128.875,209.875,144.625,64.75
2024-05-22,11.75,127.25,189.0,122.5,194.5,133.5,58.0
2024-05-23,11.1875,109.0625,178.75,116.125,179.125,122.375,51.25
2024-05-24,10.625,90.875,168.5,109.75,163.75,111.25,44.5
2024-05-25,10.0625,72.6875,158.25,103.375,148.375,100.125,37.75
2024-05-26,9.5,54.5,148.0,97.0,133.0,89.0,31.0
2024-05-27,8.9375,36.3125,137.75,90.625,117.625,77.875,24.25
2024-05-28,8.375,18.125,127.5,84.25,102.25,66.75,17.5
2024-05-29,7.8125,0.0,117.25,77.875,86.875,55.625,10.75
2024-05-30,7.25,0.0,107.0,71.5,71.5,44.5,4.0
2024-05-31,6.6875,0.0,96.75,65.125,56.125,33.375,0.0
2024-06-01,6.125,0.0,86.5,58.75,40.75,22.25,0.0
2024-06-02,5.5625,0.0,76.25,52.375,25.375,11.125,0.0
2024-06-03,5.0,0.0,66.0,46.0,10.0,0.0,0.0
2024-06-04,4.4375,0.0,55.75,39.625,0.0,0.0,0.0
2024-06-05,3.875,0.0,45.5,33.25,0.0,0.0,0.0
2024-06-06,3.3125,0.0,35.25,26.875,0.0,0.0,0.0
2024-06-07,2.75,0.0,25.0,20.5,0.0,0.0,0.0
2024-06-08,2.1875,0.0,14.75,14.125,0.0,0.0,0.0
2024-06-09,1.625,0.0,4.5,7.75,0.0,0.0,0.0
2024-06-10,1.0625,0.0,0.0,1.375,0.0,0.0,0.0
2024-06-11,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
