,B-PL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS
2024-05-19,11.466666666666667,283.46666666666664,152.96666666666667,0,283.1333333333333,143.4,0
2024-05-20,10.933333333333334,266.9333333333333,138.93333333333334,0,266.26666666666665,129.8,0
2024-05-21,10.4,250.39999999999995,124.9,0,249.39999999999998,116.20000000000002,0
2024-05-22,9.866666666666667,233.86666666666662,110.86666666666667,0,232.5333333333333,102.60000000000002,0
2024-05-23,9.333333333333334,217.3333333333333,96.83333333333334,0,215.66666666666663,89.00000000000003,0
2024-05-24,8.8,200.79999999999995,82.80000000000001,0,198.79999999999995,75.40000000000003,0
2024-05-25,8.266666666666667,184.26666666666662,68.76666666666668,0,181.93333333333328,61.80000000000003,0
2024-05-26,7.733333333333334,167.7333333333333,54.73333333333335,0,165.0666666666666,48.20000000000003,0
2024-05-27,7.200000000000001,151.19999999999996,40.70000000000002,0,148.19999999999993,34.60000000000003,0
2024-05-28,6.666666666666668,134.66666666666663,26.666666666666686,0,131.33333333333326,21.00000000000003,0
2024-05-29,6.133333333333335,118.1333333333333,12.633333333333352,0,114.46666666666658,7.400000000000029,0
2024-05-30,5.600000000000001,101.59999999999997,0.0,0,97.59999999999991,0.0,0
2024-05-31,5.066666666666668,85.06666666666663,0.0,0,80.73333333333323,0.0,0
2024-06-01,4.533333333333335,68.5333333333333,0.0,0,63.86666666666657,0.0,0
2024-06-02,4.000000000000002,51.99999999999997,0.0,0,46.9999999999999,0.0,0
2024-06-03,3.4666666666666686,35.46666666666664,0.0,0,30.133333333333233,0.0,0
2024-06-04,2.9333333333333353,18.933333333333305,0.0,0,13.266666666666566,0.0,0
2024-06-05,2.400000000000002,2.39999999999997,0.0,0,0.0,0.0,0
2024-06-06,1.866666666666669,0.0,0.0,0,0.0,0.0,0
2024-06-07,1.3333333333333357,0.0,0.0,0,0.0,0.0,0
2024-06-08,0.8000000000000024,0.0,0.0,0,0.0,0.0,0
2024-06-09,0.26666666666666905,0.0,0.0,0,0.0,0.0,0
2024-06-10,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-11,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-12,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-13,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-14,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-15,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-16,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-17,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-18,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-19,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-20,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-21,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-22,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-23,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-24,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-25,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-26,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-27,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-28,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-29,0.0,0.0,0.0,0,0.0,0.0,0
2024-06-30,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-01,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-02,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-03,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-04,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-05,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-06,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-07,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-08,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-09,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-10,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-11,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-12,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-13,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-14,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-15,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-16,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-17,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-18,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-19,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-20,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-21,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-22,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-23,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-24,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-25,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-26,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-27,0.0,0.0,0.0,0,0.0,0.0,0
