,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,14,2.17,18.95,105,0.4666666666666667,225.0,30.0,265.0,14.0,,,0.0,0.0,0.0
1,B-BS,12,1.61,14.95,114,0.4,285.0,19.0,179.0,12.0,,,0.0,0.0,0.0
2,B-NL,14,2.17,18.95,138,0.4666666666666667,295.7142857142857,30.0,265.0,14.0,,,0.0,0.0,0.0
3,B-NS,19,1.61,14.95,372,0.6333333333333333,587.3684210526316,31.0,284.0,19.0,,,0.0,0.0,0.0
4,B-PL,15,2.17,18.95,151,0.5,302.0,33.0,284.0,15.0,,,0.0,0.0,0.0
5,B-PS,15,1.61,14.95,335,0.5,670.0,24.0,224.0,15.0,,,0.0,0.0,0.0
6,FB-NXL,692,3.27,22.95,0,23.066666666666666,0.0,2263.0,15881.0,694.0,2024-06-05,200.0,200.0,494.0,1615.0
7,FB-NL,661,1.58,18.95,0,22.033333333333335,0.0,1044.0,12526.0,663.0,2024-06-05,200.0,200.0,463.0,732.0
8,FB-NS,377,1.3,14.95,0,12.566666666666666,0.0,490.0,5636.0,378.0,2024-06-05,200.0,200.0,178.0,231.0
9,FB-PXL,792,3.27,22.95,0,26.4,0.0,2590.0,18176.0,794.0,2024-06-05,200.0,200.0,594.0,1942.0
10,FB-PL,622,1.58,18.95,0,20.733333333333334,0.0,983.0,11787.0,624.0,2024-06-05,200.0,200.0,424.0,670.0
11,FB-PS,373,1.3,14.95,0,12.433333333333334,0.0,485.0,5576.0,374.0,2024-06-05,200.0,200.0,174.0,226.0
12,FD-N,15,2.86,13.95,150,0.5,300.0,43.0,209.0,15.0,,,0.0,0.0,0.0
13,FD-P,20,2.86,13.95,171,0.6666666666666666,256.5,57.0,279.0,20.0,,,0.0,0.0,0.0
14,FDN-N,140,2.33,16.95,683,4.666666666666667,146.35714285714286,326.0,2373.0,140.0,,,0.0,0.0,0.0
15,FDN-P,172,2.33,16.95,590,5.733333333333333,102.90697674418604,401.0,2915.0,172.0,,,0.0,0.0,0.0
16,FS-NL,43,3.89,22.95,293,1.4333333333333333,204.41860465116278,167.0,987.0,43.0,,,0.0,0.0,0.0
17,FS-NS,50,3.51,18.95,355,1.6666666666666667,213.0,176.0,948.0,50.0,,,0.0,0.0,0.0
18,FS-PL,47,3.89,22.95,326,1.5666666666666667,208.08510638297872,183.0,1079.0,47.0,,,0.0,0.0,0.0
19,FS-PS,55,3.51,18.95,266,1.8333333333333333,145.0909090909091,193.0,1042.0,55.0,,,0.0,0.0,0.0
20,FBX-N,93,3.57,22.95,133,3.1,42.90322580645161,332.0,2134.0,93.0,,,0.0,0.0,0.0
21,FBX-P,100,3.57,22.95,233,3.3333333333333335,69.89999999999999,357.0,2295.0,100.0,,,0.0,0.0,0.0
22,FST-C,116,2.7,18.95,63,3.8666666666666667,16.29310344827586,313.0,2198.0,116.0,,,0.0,53.0,143.0
23,FST-N,116,2.7,18.95,62,3.8666666666666667,16.03448275862069,313.0,2198.0,116.0,,,0.0,54.0,146.0
24,F-BE90,25,2.1,14.95,188,0.8333333333333334,225.6,52.0,374.0,25.0,,,0.0,0.0,0.0
25,F-CH90,21,2.1,14.95,164,0.7,234.2857142857143,44.0,314.0,21.0,,,0.0,0.0,0.0
26,F-DU90,22,2.1,14.95,298,0.7333333333333333,406.3636363636364,46.0,329.0,22.0,,,0.0,0.0,0.0
27,F-LI90,8,2.1,14.95,190,0.26666666666666666,712.5,17.0,120.0,8.0,,,0.0,0.0,0.0
28,F-MX90,441,2.1,14.95,652,14.7,44.353741496598644,926.0,6593.0,442.0,2024-06-05,1000.0,1000.0,0.0,0.0
29,F-BE,6,1.8,12.95,88,0.2,440.0,11.0,78.0,6.0,,,0.0,0.0,0.0
30,F-CH,9,1.8,12.95,54,0.3,180.0,16.0,117.0,9.0,,,0.0,0.0,0.0
31,F-DU,5,1.8,12.95,58,0.16666666666666666,348.0,9.0,65.0,5.0,,,0.0,0.0,0.0
32,F-LI,0,1.8,12.95,160,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
33,F-MX,143,1.8,12.95,487,4.766666666666667,102.16783216783217,257.0,1852.0,143.0,,,0.0,0.0,0.0
34,F-PB,13,1.8,12.95,330,0.43333333333333335,761.5384615384615,23.0,168.0,13.0,,,0.0,0.0,0.0
