,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FBX-N,FST-C,FST-N,F-MX90
2024-06-02,0.0,0.0,0.0,0.0,0.0,0.0,129.9,59.13333333333333,58.13333333333333,637.3
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,126.80000000000001,55.266666666666666,54.266666666666666,622.5999999999999
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,123.70000000000002,51.4,50.4,607.8999999999999
2024-06-05,176.93333333333334,177.96666666666667,187.43333333333334,173.6,179.26666666666665,187.56666666666666,120.60000000000002,47.53333333333333,46.53333333333333,1593.1999999999998
2024-06-06,153.86666666666667,155.93333333333334,174.86666666666667,147.2,158.5333333333333,175.13333333333333,117.50000000000003,43.666666666666664,42.666666666666664,1578.4999999999998
2024-06-07,130.8,133.9,162.3,120.79999999999998,137.79999999999995,162.7,114.40000000000003,39.8,38.8,1563.7999999999997
2024-06-08,107.73333333333335,111.86666666666667,149.73333333333335,94.39999999999998,117.06666666666662,150.26666666666665,111.30000000000004,35.93333333333333,34.93333333333333,1549.0999999999997
2024-06-09,84.66666666666669,89.83333333333334,137.16666666666669,67.99999999999997,96.33333333333329,137.83333333333331,108.20000000000005,32.06666666666666,31.066666666666663,1534.3999999999996
2024-06-10,61.60000000000002,67.80000000000001,124.60000000000002,41.59999999999997,75.59999999999995,125.39999999999998,105.10000000000005,28.199999999999996,27.199999999999996,1519.6999999999996
2024-06-11,38.53333333333336,45.76666666666668,112.03333333333336,15.199999999999974,54.86666666666662,112.96666666666664,102.00000000000006,24.33333333333333,23.33333333333333,1504.9999999999995
2024-06-12,15.466666666666693,23.733333333333345,99.4666666666667,0.0,34.13333333333328,100.5333333333333,98.90000000000006,20.46666666666666,19.46666666666666,1490.2999999999995
2024-06-13,0.0,1.70000000000001,86.90000000000003,0.0,13.399999999999949,88.09999999999997,95.80000000000007,16.599999999999994,15.599999999999994,1475.5999999999995
2024-06-14,0.0,0.0,74.33333333333337,0.0,0.0,75.66666666666663,92.70000000000007,12.733333333333327,11.733333333333327,1460.8999999999994
2024-06-15,0.0,0.0,61.76666666666671,0.0,0.0,63.23333333333329,89.60000000000008,8.86666666666666,7.86666666666666,1446.1999999999994
2024-06-16,0.0,0.0,49.200000000000045,0.0,0.0,50.799999999999955,86.50000000000009,4.999999999999993,3.9999999999999933,1431.4999999999993
2024-06-17,0.0,0.0,36.63333333333338,0.0,0.0,38.36666666666662,83.40000000000009,1.1333333333333262,0.13333333333332664,1416.7999999999993
2024-06-18,0.0,0.0,24.066666666666716,0.0,0.0,25.933333333333284,80.3000000000001,0.0,0.0,1402.0999999999992
2024-06-19,0.0,0.0,11.50000000000005,0.0,0.0,13.49999999999995,77.2000000000001,0.0,0.0,1387.3999999999992
2024-06-20,0.0,0.0,0.0,0.0,0.0,1.0666666666666167,74.10000000000011,0.0,0.0,1372.6999999999991
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,71.00000000000011,0.0,0.0,1357.999999999999
2024-06-22,0.0,0.0,0.0,0.0,0.0,0.0,67.90000000000012,0.0,0.0,1343.299999999999
2024-06-23,0.0,0.0,0.0,0.0,0.0,0.0,64.80000000000013,0.0,0.0,1328.599999999999
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,61.700000000000124,0.0,0.0,1313.899999999999
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,58.60000000000012,0.0,0.0,1299.199999999999
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,55.50000000000012,0.0,0.0,1284.4999999999989
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,52.40000000000012,0.0,0.0,1269.7999999999988
