,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FBX-N,FBX-P,FST-C,FST-N,F-MX90
2024-06-14,26.733333333333334,149.66666666666666,194.4,0,348.5,113.56666666666666,58.96666666666667,145.63333333333333,0,0,339.5
2024-06-15,0.0,122.33333333333333,179.8,0,323.0,298.1333333333333,53.93333333333334,140.26666666666665,0,0,318.0
2024-06-16,0.0,95.0,165.20000000000002,0,297.5,282.7,48.900000000000006,134.89999999999998,0,0,296.5
2024-06-17,0.0,67.66666666666667,150.60000000000002,0,272.0,267.26666666666665,43.866666666666674,129.5333333333333,0,0,275.0
2024-06-18,0.0,40.33333333333334,136.00000000000003,0,246.5,251.83333333333331,38.83333333333334,124.16666666666664,0,0,253.5
2024-06-19,0.0,13.00000000000001,121.40000000000003,0,221.0,236.39999999999998,33.80000000000001,118.79999999999998,0,0,232.0
2024-06-20,0.0,0.0,106.80000000000004,0,195.5,220.96666666666664,28.76666666666668,113.43333333333332,0,0,210.5
2024-06-21,0.0,0.0,92.20000000000005,0,170.0,205.5333333333333,23.73333333333335,108.06666666666666,0,0,189.0
2024-06-22,0.0,0.0,77.60000000000005,0,144.5,190.09999999999997,18.700000000000017,102.7,0,0,167.5
2024-06-23,0.0,0.0,63.00000000000005,0,119.0,174.66666666666663,13.666666666666684,97.33333333333334,0,0,146.0
2024-06-24,0.0,0.0,48.40000000000005,0,93.5,159.2333333333333,8.63333333333335,91.96666666666668,0,0,124.5
2024-06-25,0.0,0.0,33.80000000000005,0,68.0,143.79999999999995,3.6000000000000174,86.60000000000002,0,0,103.0
2024-06-26,0.0,0.0,19.200000000000045,0,42.5,128.36666666666662,0.0,81.23333333333336,0,0,81.5
2024-06-27,0.0,0.0,4.600000000000046,0,17.0,112.93333333333328,0.0,75.8666666666667,0,0,60.0
2024-06-28,0.0,0.0,0.0,0,0.0,97.49999999999994,0.0,70.50000000000004,0,0,38.5
2024-06-29,0.0,0.0,0.0,0,0.0,82.0666666666666,0.0,65.13333333333338,0,0,17.0
2024-06-30,0.0,0.0,0.0,0,0.0,66.63333333333327,0.0,59.766666666666715,0,0,0.0
2024-07-01,0.0,0.0,0.0,0,0.0,51.19999999999993,0.0,54.40000000000005,0,0,0.0
2024-07-02,0.0,0.0,0.0,0,0.0,35.766666666666595,0.0,49.03333333333338,0,0,0.0
2024-07-03,0.0,0.0,0.0,0,0.0,20.33333333333326,0.0,43.666666666666714,0,0,0.0
2024-07-04,0.0,0.0,0.0,0,0.0,4.8999999999999275,0.0,38.30000000000005,0,0,0.0
2024-07-05,0.0,0.0,0.0,0,0.0,0.0,0.0,32.93333333333338,0,0,0.0
2024-07-06,0.0,0.0,0.0,0,0.0,0.0,0.0,27.566666666666713,0,0,0.0
2024-07-07,0.0,0.0,0.0,0,0.0,0.0,0.0,22.200000000000045,0,0,0.0
2024-07-08,0.0,0.0,0.0,0,0.0,0.0,0.0,16.83333333333338,0,0,0.0
2024-07-09,0.0,0.0,0.0,0,0.0,0.0,0.0,11.466666666666711,0,0,0.0
2024-07-10,0.0,0.0,0.0,0,0.0,0.0,0.0,6.100000000000045,0,0,0.0
2024-07-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.7333333333333787,0,0,0.0
2024-07-12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
