,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost,,
0,B-BL,18,2.17,18.95,87,0.6,145,39,341,15,,,0,0,0,12,-75
1,B-BS,17,1.61,14.95,96,0.566666667,169.4117647,27,254,15,,,0,0,0,11.33333333,-84.66666667
2,B-NL,10,2.17,18.95,169,0.333333333,507,22,190,9,,,0,0,0,6.666666667,-162.3333333
3,B-NS,12,1.61,14.95,436,0.4,1090,19,179,10,,,0,0,0,8,-428
4,B-PL,13,2.17,18.95,200,0.433333333,461.5384615,28,246,11,,,0,0,0,8.666666667,-191.3333333
5,B-PS,23,1.61,14.95,311,0.766666667,405.6521739,37,344,20,,,0,0,0,15.33333333,-295.6666667
6,FB-NXL,870,3.27,22.95,241,29,8.310344828,2845,19966,744,,,0,503,1645,580,339
7,FB-NL,442,1.58,18.95,118,14.73333333,8.009049774,698,8376,378,,,0,260,411,294.6666667,176.6666667
8,FB-NS,253,1.3,14.95,230,8.433333333,27.27272727,329,3782,216,,,0,0,0,168.6666667,-61.33333333
9,FB-PXL,866,3.27,22.95,271,28.86666667,9.387990762,2832,19875,741,,,0,470,1537,577.3333333,306.3333333
10,FB-PL,501,1.58,18.95,63,16.7,3.77245509,792,9494,429,,,0,366,578,334,271
11,FB-PS,312,1.3,14.95,111,10.4,10.67307692,406,4664,267,,,0,156,203,208,97
12,FD-N,19,2.86,13.95,165,0.633333333,260.5263158,54,265,16,,,0,0,0,12.66666667,-152.3333333
13,FD-P,15,2.86,13.95,159,0.5,318,43,209,13,,,0,0,0,10,-149
14,FDN-N,183,2.33,16.95,497,6.1,81.47540984,426,3102,157,,,0,0,0,122,-375
15,FDN-P,227,2.33,16.95,349,7.566666667,46.12334802,529,3848,194,,,0,0,0,151.3333333,-197.6666667
16,FS-NL,72,3.89,22.95,223,2.4,92.91666667,280,1652,62,,,0,0,0,48,-175
17,FS-NS,58,3.51,18.95,292,1.933333333,151.0344828,204,1099,50,,,0,0,0,38.66666667,-253.3333333
18,FS-PL,68,3.89,22.95,261,2.266666667,115.1470588,265,1561,58,,,0,0,0,45.33333333,-215.6666667
19,FS-PS,70,3.51,18.95,219,2.333333333,93.85714286,246,1326,60,,,0,0,0,46.66666667,-172.3333333
20,FBX-N,213,3.57,22.95,116,7.1,16.33802817,760,4888,182,,,0,66,236,142,26
21,FBX-P,222,3.57,22.95,206,7.4,27.83783784,793,5095,190,,,0,0,0,148,-58
22,FST-C,181,2.7,18.95,89,6.033333333,14.75138122,489,3430,155,,,0,66,178,120.6666667,31.66666667
23,FST-N,193,2.7,18.95,62,6.433333333,9.637305699,521,3657,165,,,0,103,278,128.6666667,66.66666667
24,F-BE90,24,2.1,14.95,142,0.8,177.5,50,359,21,,,0,0,0,16,-126
25,F-CH90,16,2.1,14.95,118,0.533333333,221.25,34,239,14,,,0,0,0,10.66666667,-107.3333333
26,F-DU90,16,2.1,14.95,252,0.533333333,472.5,34,239,14,,,0,0,0,10.66666667,-241.3333333
27,F-LI90,14,2.1,14.95,136,0.466666667,291.4285714,29,209,12,,,0,0,0,9.333333333,-126.6666667
28,F-MX90,1005,2.1,14.95,96,33.5,2.865671642,2110,15025,860,,,0,764,1604,670,574
29,F-BE,3,1.8,12.95,83,0.1,830,5,39,3,,,0,0,0,2,-81
30,F-CH,8,1.8,12.95,42,0.266666667,157.5,14,104,7,,,0,0,0,5.333333333,-36.66666667
31,F-DU,5,1.8,12.95,47,0.166666667,282,9,65,4,,,0,0,0,3.333333333,-43.66666667
32,F-LI,0,1.8,12.95,157,0,inf,0,0,0,,,0,0,0,0,-157
33,F-MX,193,1.8,12.95,2,6.433333333,0.310880829,347,2499,165,,,0,163,293,128.6666667,126.6666667
34,F-PB,21,1.8,12.95,346,0.7,494.2857143,38,272,18,,,0,0,0,14,-332
