,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-P,FBX-N,FBX-P,FST-C,FST-N,F-MX90,F-MX
2024-06-30,212.0,103.26666666666667,221.56666666666666,242.13333333333333,46.3,100.6,341.43333333333334,108.9,198.6,82.96666666666667,55.56666666666666,62.5,0
2024-07-01,183.0,88.53333333333333,213.13333333333333,213.26666666666665,29.599999999999998,90.19999999999999,333.8666666666667,101.80000000000001,191.2,76.93333333333334,49.133333333333326,29.0,0
2024-07-02,154.0,73.8,204.7,184.39999999999998,12.899999999999999,79.79999999999998,326.3,94.70000000000002,183.79999999999998,70.9,42.69999999999999,0.0,0
2024-07-03,125.0,59.06666666666666,196.26666666666665,155.5333333333333,0.0,69.39999999999998,318.73333333333335,87.60000000000002,176.39999999999998,64.86666666666667,36.26666666666665,0.0,0
2024-07-04,96.0,44.33333333333333,187.83333333333331,126.66666666666663,0.0,58.99999999999998,311.1666666666667,80.50000000000003,168.99999999999997,58.83333333333334,29.833333333333318,0.0,0
2024-07-05,67.0,29.599999999999994,179.39999999999998,97.79999999999995,0.0,48.59999999999998,303.6,73.40000000000003,161.59999999999997,52.80000000000001,23.399999999999984,0.0,0
2024-07-06,38.0,14.866666666666662,170.96666666666664,68.93333333333328,0.0,38.19999999999998,296.03333333333336,66.30000000000004,154.19999999999996,46.76666666666668,16.96666666666665,0.0,0
2024-07-07,9.0,0.1333333333333293,162.5333333333333,40.06666666666661,0.0,27.799999999999983,288.4666666666667,59.20000000000004,146.79999999999995,40.73333333333335,10.533333333333317,0.0,0
2024-07-08,0.0,0.0,154.09999999999997,11.199999999999946,0.0,17.399999999999984,280.90000000000003,52.10000000000004,139.39999999999995,34.70000000000002,4.099999999999984,0.0,0
2024-07-09,0.0,0.0,145.66666666666663,0.0,0.0,6.999999999999984,273.33333333333337,45.000000000000036,131.99999999999994,28.666666666666686,0.0,0.0,0
2024-07-10,0.0,0.0,137.2333333333333,0.0,0.0,0.0,265.7666666666667,37.900000000000034,124.59999999999994,22.633333333333354,0.0,0.0,0
2024-07-11,0.0,0.0,128.79999999999995,0.0,0.0,0.0,258.20000000000005,30.800000000000033,117.19999999999993,16.600000000000023,0.0,0.0,0
2024-07-12,0.0,0.0,120.36666666666662,0.0,0.0,0.0,250.63333333333338,23.70000000000003,109.79999999999993,10.56666666666669,0.0,0.0,0
