,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost,,,
0,B-BL,16,2.17,18.95,71,1,133,35,303,13,,,0,0,0,,16,
1,B-BS,11,1.61,14.95,83,0,226,18,164,9,,,0,0,0,,11,
2,B-NL,22,2.17,18.95,148,1,202,48,417,19,,,0,0,0,,22,
3,B-NS,15,1.61,14.95,422,1,844,24,224,13,,,0,0,0,,15,
4,B-PL,32,2.17,18.95,164,1,154,69,606,27,,,0,0,0,,32,
5,B-PS,11,1.61,14.95,301,0,821,18,164,9,,,0,0,0,,11,
6,FB-NXL,841,3.27,22.95,-53,28,-2,2750,19301,708,8/15/24,900,900,0,0,,841,6
7,FB-NL,399,1.58,18.95,610,13,46,630,7561,336,8/15/24,700,700,0,0,,399,911
8,FB-NS,199,1.3,14.95,307,7,46,259,2975,168,8/15/24,700,700,0,0,,199,808
9,FB-PXL,1064,3.27,22.95,72,35,2,3479,24419,896,8/15/24,900,900,0,0,,1064,-92
10,FB-PL,381,1.58,18.95,599,13,47,602,7220,321,8/15/24,600,600,0,0,,381,818
11,FB-PS,259,1.3,14.95,270,9,31,337,3872,218,8/15/24,700,700,0,0,,259,711
12,FD-N,22,2.86,13.95,140,1,191,63,307,19,,,0,0,0,,22,118
13,FD-P,24,2.86,13.95,135,1,169,69,335,20,,,0,0,0,,24,111
14,FDN-N,225,2.33,16.95,270,8,36,524,3814,189,,,0,0,0,,225,45
15,FDN-P,223,2.33,16.95,104,7,14,520,3780,188,,,0,84,196,,223,-119
16,FS-NL,92,3.89,22.95,331,3,108,358,2111,77,,,0,0,0,,92,239
17,FS-NS,69,3.51,18.95,411,2,179,242,1308,58,,,0,0,0,,69,342
18,FS-PL,72,3.89,22.95,386,2,161,280,1652,61,,,0,0,0,,72,314
19,FS-PS,77,3.51,18.95,339,3,132,270,1459,65,,,0,0,0,,77,262
20,FBX-N,228,3.57,22.95,168,8,22,814,5233,192,8/15/24,500,500,0,0,,228,440
21,FBX-P,282,3.57,22.95,81,9,9,1007,6472,237,8/15/24,500,500,0,0,,282,299
22,FST-C,205,2.7,18.95,176,7,26,554,3885,173,8/15/24,300,300,0,0,,205,271
23,FST-N,208,2.7,18.95,148,7,21,562,3942,175,8/15/24,300,300,0,0,,208,240
24,F-BE90,67,2.1,14.95,-38,2,-17,141,1002,56,,,0,94,197,,67,-105
25,F-CH90,54,2.1,14.95,-45,2,-25,113,807,45,,,0,90,189,,54,-99
26,F-DU90,53,2.1,14.95,68,2,38,111,792,45,,,0,0,0,,53,15
27,F-LI90,51,2.1,14.95,68,2,40,107,762,43,,,0,0,0,,51,17
28,F-MX90,723,2.1,14.95,-18,24,-1,1518,10809,609,,,0,627,1317,,723,-741
29,F-BE,29,1.8,12.95,37,1,38,52,376,24,,,0,0,0,,29,8
30,F-CH,20,1.8,12.95,7,1,11,36,259,17,,,0,10,18,,20,-13
31,F-DU,19,1.8,12.95,18,1,28,34,246,16,,,0,0,0,,19,-1
32,F-LI,0,1.8,12.95,118,0,inf,0,0,0,,,0,0,0,,0,118
33,F-MX,132,1.8,12.95,-7,4,-2,238,1709,111,,,0,118,212,,132,-139
34,F-PB,37,1.8,12.95,318,1,258,67,479,31,,,0,0,0,,37,281
