,FB-NXL,FB-NL,FB-PXL,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-MX
2024-08-12,29.6,988.4,967.8,0.0,48.0,0.0,0.0,826.7,0
2024-08-13,5.200000000000003,976.8,935.5999999999999,0.0,46.0,0.0,0.0,816.4000000000001,0
2024-08-14,0.0,965.1999999999999,903.3999999999999,0.0,44.0,0.0,0.0,806.1000000000001,0
2024-08-15,0.0,953.5999999999999,871.1999999999998,0.0,42.0,0.0,0.0,795.8000000000002,0
2024-08-16,0.0,941.9999999999999,838.9999999999998,0.0,40.0,0.0,0.0,785.5000000000002,0
2024-08-17,0.0,930.3999999999999,806.7999999999997,0.0,38.0,0.0,0.0,775.2000000000003,0
2024-08-18,0.0,918.7999999999998,774.5999999999997,0.0,36.0,0.0,0.0,764.9000000000003,0
2024-08-19,1475.6,1207.1999999999998,2242.3999999999996,0.0,34.0,0.0,0.0,754.6000000000004,0
2024-08-20,1451.1999999999998,1195.6,2210.2,0.0,32.0,0.0,0.0,744.3000000000004,0
2024-08-21,1426.7999999999997,1184.0,2178.0,0.0,30.0,0.0,0.0,734.0000000000005,0
2024-08-22,1402.3999999999996,1172.4,2145.8,0.0,28.0,0.0,0.0,723.7000000000005,0
2024-08-23,1377.9999999999995,1160.8000000000002,2113.6000000000004,0.0,26.0,0.0,0.0,713.4000000000005,0
2024-08-24,1353.5999999999995,1149.2000000000003,2081.4000000000005,0.0,24.0,0.0,0.0,703.1000000000006,0
2024-08-25,1329.1999999999994,1137.6000000000004,2049.2000000000007,0.0,22.0,0.0,0.0,692.8000000000006,0
2024-08-26,1304.7999999999993,1126.0000000000005,2017.0000000000007,0.0,20.0,0.0,0.0,682.5000000000007,0
2024-08-27,1280.3999999999992,1114.4000000000005,1984.8000000000006,0.0,18.0,0.0,0.0,672.2000000000007,0
2024-08-28,1255.999999999999,1102.8000000000006,1952.6000000000006,0.0,16.0,0.0,0.0,661.9000000000008,0
2024-08-29,1231.599999999999,1091.2000000000007,1920.4000000000005,0.0,14.0,0.0,0.0,651.6000000000008,0
2024-08-30,1207.199999999999,1079.6000000000008,1888.2000000000005,0.0,12.0,0.0,0.0,641.3000000000009,0
2024-08-31,1182.7999999999988,1068.000000000001,1856.0000000000005,0.0,10.0,0.0,0.0,631.0000000000009,0
2024-09-01,1158.3999999999987,1056.400000000001,1823.8000000000004,198.16666666666666,208.0,198.06666666666666,198.76666666666668,3020.7000000000007,0
2024-09-02,1133.9999999999986,1044.800000000001,1791.6000000000004,196.33333333333331,206.0,196.13333333333333,197.53333333333336,3010.4000000000005,0
2024-09-03,1109.5999999999985,1033.2000000000012,1759.4000000000003,194.49999999999997,204.0,194.2,196.30000000000004,3000.1000000000004,0
2024-09-04,1085.1999999999985,1021.6000000000012,1727.2000000000003,192.66666666666663,202.0,192.26666666666665,195.06666666666672,2989.8,0
2024-09-05,1060.7999999999984,1010.0000000000011,1695.0000000000002,190.8333333333333,200.0,190.33333333333331,193.8333333333334,2979.5,0
2024-09-06,1036.3999999999983,998.4000000000011,1662.8000000000002,188.99999999999994,198.0,188.39999999999998,192.60000000000008,2969.2,0
