,B-BL,FB-NXL,FB-NL,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FS-NL,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU
2024-08-20,46.28888888888889,625.0,0,0,795.0888888888888,805.6111111111111,0.0,0.0,231.27777777777777,280.4111111111111,134.57777777777778,312.3666666666667,437.06666666666666,0.0,38.84444444444444,0.0,0.0,493.0,0,6.633333333333334,18.72222222222222
2024-08-21,45.57777777777778,598.0,0,0,779.1777777777777,796.2222222222222,0.0,0.0,228.55555555555554,271.8222222222222,125.15555555555557,305.73333333333335,430.1333333333333,0.0,37.68888888888888,0.0,0.0,466.0,0,6.2666666666666675,18.444444444444443
2024-08-22,44.866666666666674,571.0,0,0,763.2666666666665,786.8333333333333,0.0,0.0,225.83333333333331,263.2333333333333,115.73333333333335,299.1,423.2,0.0,36.533333333333324,0.0,0.0,439.0,0,5.900000000000001,18.166666666666664
2024-08-23,44.155555555555566,544.0,0,0,747.3555555555554,777.4444444444443,0.0,0.0,223.1111111111111,254.6444444444444,106.31111111111113,292.4666666666667,416.26666666666665,0.0,35.377777777777766,0.0,0.0,412.0,0,5.533333333333335,17.888888888888886
2024-08-24,43.44444444444446,517.0,0,0,731.4444444444442,768.0555555555554,0.0,0.0,220.38888888888886,246.0555555555555,96.88888888888891,285.83333333333337,409.3333333333333,0.0,34.22222222222221,0.0,0.0,385.0,0,5.166666666666669,17.611111111111107
2024-08-25,42.73333333333335,490.0,0,0,715.5333333333331,758.6666666666665,0.0,0.0,217.66666666666663,237.46666666666658,87.4666666666667,279.20000000000005,402.4,0.0,33.06666666666665,0.0,0.0,358.0,0,4.8000000000000025,17.33333333333333
2024-08-26,42.02222222222224,463.0,0,0,699.6222222222219,749.2777777777776,0.0,0.0,214.9444444444444,228.87777777777768,78.04444444444448,272.5666666666667,395.46666666666664,0.0,31.911111111111094,0.0,0.0,331.0,0,4.433333333333336,17.05555555555555
2024-08-27,41.31111111111113,436.0,0,0,683.7111111111108,739.8888888888887,0.0,0.0,212.22222222222217,220.28888888888878,68.62222222222226,265.9333333333334,388.5333333333333,0.0,30.75555555555554,0.0,0.0,304.0,0,4.06666666666667,16.77777777777777
2024-08-28,40.60000000000002,409.0,0,0,667.7999999999996,730.4999999999998,0.0,0.0,209.49999999999994,211.69999999999987,59.20000000000004,259.30000000000007,381.59999999999997,0.0,29.599999999999984,0.0,0.0,277.0,0,3.7000000000000033,16.499999999999993
2024-08-29,39.888888888888914,382.0,0,0,651.8888888888885,721.1111111111109,0.0,0.0,206.77777777777771,203.11111111111097,49.777777777777814,252.66666666666674,374.66666666666663,0.0,28.44444444444443,0.0,0.0,250.0,0,3.3333333333333366,16.222222222222214
2024-08-30,39.177777777777806,355.0,0,0,635.9777777777773,711.722222222222,0.0,0.0,204.0555555555555,194.52222222222207,40.35555555555559,246.03333333333342,367.7333333333333,0.0,27.288888888888874,0.0,0.0,223.0,0,2.96666666666667,15.944444444444436
2024-08-31,38.4666666666667,328.0,0,0,620.0666666666662,702.333333333333,0.0,0.0,201.33333333333326,185.93333333333317,30.933333333333366,239.4000000000001,360.79999999999995,0.0,26.13333333333332,0.0,0.0,196.0,0,2.600000000000003,15.666666666666657
2024-09-01,37.75555555555559,301.0,0,0,604.155555555555,692.9444444444441,192.6888888888889,191.8,198.61111111111103,177.34444444444426,21.51111111111114,232.76666666666677,353.8666666666666,198.7,224.97777777777776,198.83333333333334,199.15555555555557,2569.0,0,2.2333333333333365,15.388888888888879
2024-09-02,37.04444444444448,274.0,0,0,588.2444444444438,683.5555555555552,185.3777777777778,183.60000000000002,195.8888888888888,168.75555555555536,12.088888888888919,226.13333333333344,346.9333333333333,197.39999999999998,223.8222222222222,197.66666666666669,198.31111111111113,2542.0,0,1.8666666666666698,15.1111111111111
2024-09-03,36.33333333333337,247.0,0,0,572.3333333333327,674.1666666666663,178.0666666666667,175.40000000000003,193.16666666666657,160.16666666666646,2.6666666666666963,219.5000000000001,339.99999999999994,196.09999999999997,222.66666666666663,196.50000000000003,197.4666666666667,2515.0,0,1.500000000000003,14.833333333333321
2024-09-04,35.62222222222226,220.0,0,0,556.4222222222215,664.7777777777774,170.7555555555556,167.20000000000005,190.44444444444434,151.57777777777756,0.0,212.8666666666668,333.0666666666666,194.79999999999995,221.51111111111106,195.33333333333337,196.62222222222226,2488.0,0,1.1333333333333364,14.555555555555543
2024-09-05,34.911111111111154,193.0,0,0,540.5111111111104,655.3888888888885,163.44444444444449,159.00000000000006,187.72222222222211,142.98888888888865,0.0,206.23333333333346,326.13333333333327,193.49999999999994,220.3555555555555,194.1666666666667,195.77777777777783,2461.0,0,0.7666666666666697,14.277777777777764
2024-09-06,34.200000000000045,166.0,0,0,524.5999999999992,645.9999999999995,156.13333333333338,150.80000000000007,184.9999999999999,134.39999999999975,0.0,199.60000000000014,319.19999999999993,192.19999999999993,219.19999999999993,193.00000000000006,194.9333333333334,2434.0,0,0.4000000000000031,13.999999999999986
2024-09-07,33.48888888888894,139.0,0,0,508.68888888888813,636.6111111111106,148.82222222222228,142.60000000000008,182.27777777777766,125.81111111111086,0.0,192.9666666666668,312.2666666666666,190.89999999999992,218.04444444444437,191.8333333333334,194.08888888888896,2407.0,0,0.033333333333336435,13.722222222222207
2024-09-08,32.77777777777783,112.0,0,0,492.77777777777703,627.2222222222217,141.51111111111118,134.4000000000001,179.55555555555543,117.22222222222197,0.0,186.33333333333348,305.33333333333326,189.5999999999999,216.8888888888888,190.66666666666674,193.24444444444453,2380.0,0,0.0,13.444444444444429
2024-09-09,32.06666666666672,85.0,0,0,476.86666666666594,617.8333333333328,134.20000000000007,126.20000000000009,176.8333333333332,108.63333333333308,0.0,179.70000000000016,298.3999999999999,188.2999999999999,215.73333333333323,189.50000000000009,192.4000000000001,2353.0,0,0.0,13.16666666666665
2024-09-10,31.355555555555608,58.0,0,0,460.95555555555484,608.4444444444439,126.88888888888896,118.00000000000009,174.11111111111097,100.0444444444442,0.0,173.06666666666683,291.4666666666666,186.9999999999999,214.57777777777767,188.33333333333343,191.55555555555566,2326.0,0,0.0,12.888888888888872
