,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost,weight,,,cost,weight,
0,B-BL,64,1.98,18.95,41,0.7,57.7,139,1213,88,,,0,47,102,98,,,0,0,
1,B-BS,50,1.48,14.95,63,0.6,113.4,80,748,69,,,0,6,10,78,,,0,0,
2,B-NL,59,1.98,18.95,103,0.7,157.1,128,1118,81,,,0,0,0,98,,,0,0,
3,B-NS,37,1.48,14.95,402,0.4,977.8,60,553,51,,,0,0,0,78,,,0,0,
4,B-PL,67,1.98,18.95,143,0.7,192.1,145,1270,92,,,0,0,0,98,,,0,0,
5,B-PS,62,1.48,14.95,274,0.7,397.7,100,927,85,,,0,0,0,78,,,0,0,
6,FB-NXL,2430,2.8,22.95,574,27,21.3,7946,55768,3340,9/10/24,2800,2800,0,0,283,1000,,2801.833333,283,
7,FB-NL,1383,1.56,18.95,1030,15.4,67,2185,26208,1901,,,0,871,1376,127,1000,,1559.833333,127,
8,FB-NS,674,1.28,14.95,821,7.5,109.6,876,10076,927,,,0,106,138,100,500,,641.6666667,50,
9,FB-PXL,3275,2.8,22.95,40,36.4,1.1,10709,75161,4502,9/10/24,2800,2800,1662,5435,283,2000,,5603.666667,566,
10,FB-PL,1432,1.56,18.95,774,15.9,48.6,2263,27136,1969,,,0,1195,1888,127,1000,,1559.833333,127,
11,FB-PS,845,1.28,14.95,799,9.4,85.1,1098,12633,1162,,,0,363,472,100,500,,641.6666667,50,
12,FD-N,72,0.62,13.95,113,0.8,141.3,206,1004,99,,,0,0,0,219,,,0,0,
13,FD-P,70,0.62,13.95,116,0.8,149.1,200,976,96,,,0,0,0,219,,,0,0,
14,FDN-N,658,2.34,16.95,-49,7.3,-6.7,1533,11153,905,9/10/24,200,200,754,1757,190,1000,,2338.333333,190,
15,FDN-P,738,2.34,16.95,-48,8.2,-5.9,1720,12509,1015,9/10/24,200,200,863,2011,190,1000,,2338.333333,190,
16,FS-NL,245,3.97,22.95,217,2.7,79.7,953,5623,337,,,0,120,467,395,200,,793.8333333,79,
17,FS-NS,200,3.58,18.95,347,2.2,156.2,702,3790,275,,,0,0,0,362,,,0,0,
18,FS-PL,206,3.97,22.95,302,2.3,131.9,801,4728,283,,,0,0,0,395,,,0,0,
19,FS-PS,222,3.58,18.95,232,2.5,94.1,779,4207,305,,,0,73,256,362,100,,357.5666667,36.2,
20,FBX-N,773,3.55,22.95,246,8.6,28.6,2760,17740,1063,9/10/24,200,200,617,2203,378,1000,,3551,378,
21,FBX-P,848,3.55,22.95,92,9.4,9.8,3027,19462,1166,9/10/24,200,200,874,3120,378,1000,,3551,378,
22,FST-C,597,2.27,18.95,295,6.6,44.5,1612,11313,821,9/10/24,300,300,226,610,236,1000,,2268.666667,236,
23,FST-N,624,2.27,18.95,416,6.9,60,1685,11825,858,9/10/24,300,300,142,383,236,1000,,2268.666667,236,
24,FL-C,47,3.79,,151,0.5,289.1,,,65,,,0,0,,402,1000,,3789,402,
25,FL-N,59,3.79,22.95,218,0.7,332.5,215,1354,81,,,0,0,0,402,1000,,3789,402,
26,F-BE90,117,2.1,14.95,36,1.3,27.7,246,1749,161,9/1/24,200,200,0,0,,,,0,0,
27,F-CH90,104,2.1,14.95,18,1.2,15.6,218,1555,143,9/1/24,200,200,0,0,,,,0,0,
28,F-DU90,105,2.1,14.95,10,1.2,8.6,220,1570,144,9/1/24,200,200,0,0,,,,0,0,
29,F-LI90,76,2.1,14.95,22,0.8,26.1,160,1136,104,9/1/24,200,200,0,0,,,,0,0,
30,F-MX90,2430,2.1,14.95,91,27,3.4,5103,36328,3340,9/1/24,2400,2400,849,1783,,,,0,0,
31,F-BE,40,1.8,12.95,0,0.4,0,72,518,55,,,0,55,99,,,,0,0,
32,F-CH,33,1.8,12.95,7,0.4,19.1,59,427,45,,,0,38,68,,,,0,0,
33,F-DU,25,1.8,12.95,19,0.3,68.4,45,324,34,,,0,15,27,,,,0,0,
34,F-LI,0,1.8,12.95,7,0,inf,0,0,0,,,0,0,0,,,,0,0,
35,F-PB,125,1.8,12.95,169,1.4,121.7,225,1619,172,,,0,3,5,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,37853.9,3730.2,4476.24
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,10568.9
