Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Recent Quantity Sold,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Amount,Incoming order,Purchase Amount,Real Cost,,air,fast fast sea,container ,,
B-BL,9,2.17,18.95,30,0,1,30,20,171,88,,0,146,317,,,,,,
B-BS,10,1.61,14.95,53,2,1,53,16,150,98,,0,143,230,,,,,,
B-NL,12,2.17,18.95,89,0,2,44,26,227,118,,0,147,319,,,,,,
B-NS,8,1.61,14.95,393,2,1,393,13,120,78,,0,0,0,,,,,,
B-PL,11,2.17,18.95,133,0,2,66,24,208,108,,0,83,180,,,,,,
B-PS,10,1.61,14.95,265,0,1,265,16,150,98,,0,0,0,,,,,,
FB-NXL,570,3.27,22.95,1178,93,81,15,1864,13082,5586,1500,1500,8494,27775,,500,3000,7500,9/27/24,500
FB-NL,143,1.58,18.95,873,26,20,44,226,2710,1401,,0,1929,3048,,,1000,2000,,
FB-NS,46,1.3,14.95,770,8,7,110,60,688,451,,0,132,172,,,,1000,,
FB-PXL,433,3.27,22.95,845,92,62,14,1416,9937,4243,1500,1500,6141,20081,,500,3000,6000,9/27/24,500
FB-PL,160,1.58,18.95,568,28,23,25,253,3032,1568,,0,2568,4057,,150,1000,2000,9/27/24,200
FB-PS,66,1.3,14.95,737,6,9,82,86,987,647,,0,557,724,,,,1000,,
FD-N,4,2.86,13.95,104,0,1,104,11,56,39,,0,0,0,,,,100,,
FD-P,10,2.86,13.95,99,1,1,99,29,140,98,,0,97,277,,,,100,,
FDN-N,38,2.33,16.95,78,11,5,16,89,644,372,,0,666,1552,,100,500,500,9/27/24,250
FDN-P,58,2.33,16.95,107,15,8,13,135,983,568,,0,1029,2398,,100,500,500,9/27/24,250
FS-NL,58,3.89,22.95,125,9,8,16,226,1331,568,,0,1011,3933,,,400,700,9/27/24,200
FS-NS,37,3.51,18.95,293,7,5,59,130,701,363,,0,433,1520,,,400,500,,
FS-PL,50,3.89,22.95,226,8,7,32,194,1148,490,,0,754,2933,,,400,600,9/27/24,150
FS-PS,47,3.51,18.95,153,6,7,22,165,891,461,,0,769,2699,,,400,600,9/27/24,150
FBX-N,136,3.57,22.95,260,30,19,14,486,3121,1333,,0,2406,8589,,200,1000,2000,9/27/24,500
FBX-P,123,3.57,22.95,130,18,18,7,439,2823,1205,,0,2280,8140,,300,1000,2000,9/27/24,500
FST-C,63,2.7,18.95,511,11,9,57,170,1194,617,,0,723,1952,,,500,1000,9/27/24,200
FST-N,67,2.7,18.95,626,10,10,63,181,1270,657,,0,688,1858,,,500,1000,9/27/24,200
FL-C,17,,,93,2,2,46,,,167,,0,241,,,,200,500,9/27/24,150
FL-N,32,3.65,22.95,138,5,5,28,117,734,314,,0,490,1788,,,200,500,9/27/24,150
F-BE90,36,2.1,14.95,-1,0,5,0,76,538,353,100,100,607,1275,,,,,,
F-CH90,11,2.1,14.95,1,0,2,0,23,164,108,100,100,115,242,,,,,,
F-DU90,10,2.1,14.95,0,0,1,0,21,150,98,100,100,96,202,,,,,,
F-LI90,18,2.1,14.95,0,0,3,0,38,269,176,100,100,252,529,,,,,,
F-MX90,207,2.1,14.95,126,19,30,4,435,3095,2029,1200,1200,2732,5737,,,,,,
F-BE,0,1.8,12.95,0,0,0,,0,0,0,,0,0,0,,,,,,
F-CH,0,1.8,12.95,7,0,0,inf,0,0,0,,0,0,0,,,,,,
F-DU,0,1.8,12.95,19,0,0,inf,0,0,0,,0,0,0,,,,,,
F-LI,0,1.8,12.95,7,0,0,inf,0,0,0,,0,0,0,,,,,,
F-PB,36,1.8,12.95,133,7,5,27,65,466,353,,0,573,1031,,,,,,
