Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Amount,Incoming order,Purchase Amount,Real Cost
B-BL,7,2.17,18.95,11,1,11,15,133,62,,0,113,245
B-BS,4,1.61,14.95,32,1,32,6,60,36,,0,40,64
B-NL,11,2.17,18.95,57,2,28,24,208,98,,0,139,302
B-NS,6,1.61,14.95,375,1,375,10,90,53,,0,0,0
B-PL,10,2.17,18.95,109,1,109,22,190,89,,0,69,150
B-PS,14,1.61,14.95,239,2,120,23,209,125,,0,11,18
FB-NXL,629,3.27,22.95,344,90,4,2057,14436,5598,1500,1500,9352,30581
FB-NL,151,1.58,18.95,503,22,23,239,2861,1344,,0,2185,3452
FB-NS,42,1.3,14.95,646,6,108,55,628,374,,0,102,133
FB-PXL,468,3.27,22.95,266,67,4,1530,10741,4165,1500,1500,6564,21464
FB-PL,161,1.58,18.95,311,23,14,254,3051,1433,,0,2555,4037
FB-PS,69,1.3,14.95,561,10,56,90,1032,614,,0,667,867
FD-N,6,2.86,13.95,84,1,84,17,84,53,,0,22,63
FD-P,7,2.86,13.95,80,1,80,20,98,62,,0,44,126
FDN-N,101,2.33,16.95,128,14,9,235,1712,899,,0,1670,3891
FDN-P,102,2.33,16.95,126,15,8,238,1729,908,,0,1690,3938
FS-NL,50,3.89,22.95,-9,7,-1,194,1148,445,,0,899,3497
FS-NS,32,3.51,18.95,225,5,45,112,606,285,,0,345,1211
FS-PL,48,3.89,22.95,106,7,15,187,1102,427,,0,748,2910
FS-PS,38,3.51,18.95,42,5,8,133,720,338,,0,634,2225
FBX-N,120,3.57,22.95,150,17,9,428,2754,1068,,0,1986,7090
FBX-P,103,3.57,22.95,132,15,9,368,2364,917,,0,1702,6076
FST-C,72,2.7,18.95,452,10,45,194,1364,641,,0,830,2241
FST-N,67,2.7,18.95,444,10,44,181,1270,596,,0,748,2020
FL-C,26,,,33,4,8,,,231,,0,429,
FL-N,63,3.65,22.95,7,9,1,230,1446,561,,0,1115,4070
F-BE90,3,2.1,14.95,-3,0,#NAME?,6,45,27,100,100,0,0
F-CH90,13,2.1,14.95,31,2,16,27,194,116,100,100,101,212
F-DU90,10,2.1,14.95,37,1,37,21,150,89,100,100,41,86
F-LI90,16,2.1,14.95,28,2,14,34,239,142,100,100,156,328
F-MX90,336,2.1,14.95,32,48,1,706,5023,2990,1200,1200,4748,9971
F-BE,0,1.8,12.95,0,0,,0,0,0,,0,0,0
F-CH,0,1.8,12.95,7,0,inf,0,0,0,,0,0,0
F-DU,0,1.8,12.95,19,0,inf,0,0,0,,0,0,0
F-LI,0,1.8,12.95,7,0,inf,0,0,0,,0,0,0
F-PB,33,1.8,12.95,42,5,8,59,427,294,,0,546,983
