Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Recent Quantity Sold,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Amount,Incoming order,Purchase Amount,Real Cost
B-BL,43,2.17,18.95,5.0,6.0,1.0,5.0,93.0,815.0,82.0,,0.0,159.0,345.0
B-BS,37,1.61,14.95,25.0,7.0,1.0,25.0,60.0,553.0,70.0,,0.0,115.0,185.0
B-NL,69,2.17,18.95,48.0,9.0,2.0,24.0,150.0,1308.0,131.0,,0.0,214.0,464.0
B-NS,44,1.61,14.95,371.0,4.0,1.0,371.0,71.0,658.0,84.0,,0.0,0.0,0.0
B-PL,41,2.17,18.95,105.0,4.0,1.0,105.0,89.0,777.0,78.0,,0.0,51.0,111.0
B-PS,55,1.61,14.95,228.0,11.0,2.0,114.0,89.0,822.0,104.0,,0.0,0.0,0.0
FB-NXL,2497,3.27,22.95,-21.0,365.0,83.0,-0.0,8165.0,57306.0,4744.0,500.0,500.0,9009.0,29459.0
FB-NL,681,1.58,18.95,353.0,150.0,23.0,15.0,1076.0,12905.0,1294.0,,0.0,2235.0,3531.0
FB-NS,203,1.3,14.95,612.0,34.0,7.0,87.0,264.0,3035.0,386.0,,0.0,160.0,208.0
FB-PXL,2222,3.27,22.95,-171.0,437.0,74.0,-2.0,7266.0,50995.0,4222.0,500.0,500.0,8115.0,26536.0
FB-PL,767,1.58,18.95,168.0,143.0,26.0,6.0,1212.0,14535.0,1457.0,200.0,200.0,2546.0,4023.0
FB-PS,300,1.3,14.95,501.0,60.0,10.0,50.0,390.0,4485.0,570.0,,0.0,639.0,831.0
FD-N,35,2.86,13.95,72.0,12.0,1.0,72.0,100.0,488.0,66.0,,0.0,60.0,172.0
FD-P,50,2.86,13.95,66.0,14.0,2.0,33.0,143.0,698.0,95.0,,0.0,124.0,355.0
FDN-N,444,2.33,16.95,52.0,76.0,15.0,3.0,1035.0,7526.0,844.0,250.0,250.0,1386.0,3229.0
FDN-P,412,2.33,16.95,49.0,77.0,14.0,4.0,960.0,6983.0,783.0,250.0,250.0,1267.0,2952.0
FS-NL,271,3.89,22.95,-51.0,42.0,9.0,-6.0,1054.0,6219.0,515.0,200.0,200.0,881.0,3427.0
FS-NS,150,3.51,18.95,196.0,29.0,5.0,39.0,526.0,2842.0,285.0,,0.0,374.0,1313.0
FS-PL,227,3.89,22.95,82.0,24.0,8.0,10.0,883.0,5210.0,431.0,150.0,150.0,630.0,2451.0
FS-PS,256,3.51,18.95,-14.0,56.0,9.0,-2.0,899.0,4851.0,486.0,150.0,150.0,836.0,2934.0
FBX-N,730,3.57,22.95,-28.0,178.0,24.0,-1.0,2606.0,16754.0,1387.0,500.0,500.0,2302.0,8218.0
FBX-P,711,3.57,22.95,-11.0,143.0,24.0,-0.0,2538.0,16317.0,1351.0,500.0,500.0,2213.0,7900.0
FST-C,413,2.7,18.95,388.0,64.0,14.0,28.0,1115.0,7826.0,785.0,200.0,200.0,982.0,2651.0
FST-N,414,2.7,18.95,337.0,107.0,14.0,24.0,1118.0,7845.0,787.0,200.0,200.0,1037.0,2800.0
FL-C,166,,,-3.0,36.0,6.0,-0.0,,,315.0,150.0,150.0,483.0,
FL-N,238,3.65,22.95,-17.0,24.0,8.0,-2.0,869.0,5462.0,452.0,150.0,150.0,771.0,2814.0
F-BE90,45,2.1,14.95,-3.0,0.0,2.0,-2.0,94.0,673.0,86.0,,0.0,175.0,368.0
F-CH90,70,2.1,14.95,0.0,31.0,2.0,0.0,147.0,1046.0,133.0,,0.0,266.0,559.0
F-DU90,60,2.1,14.95,0.0,37.0,2.0,0.0,126.0,897.0,114.0,,0.0,228.0,479.0
F-LI90,71,2.1,14.95,-2.0,30.0,2.0,-1.0,149.0,1061.0,135.0,,0.0,272.0,571.0
F-MX90,997,2.1,14.95,3.0,29.0,33.0,0.0,2094.0,14905.0,1894.0,,0.0,3785.0,7948.0
F-BE,0,1.8,12.95,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
F-CH,0,1.8,12.95,7.0,0.0,0.0,inf,0.0,0.0,0.0,,0.0,0.0,0.0
F-DU,0,1.8,12.95,19.0,0.0,0.0,inf,0.0,0.0,0.0,,0.0,0.0,0.0
F-LI,0,1.8,12.95,7.0,0.0,0.0,inf,0.0,0.0,0.0,,0.0,0.0,0.0
F-PB,199,1.8,12.95,6.0,36.0,7.0,1.0,358.0,2577.0,378.0,,0.0,750.0,1350.0
