,B-BL,B-BS,B-NL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FD-N,FD-P,FDN-N,FDN-P,FS-NL,FS-NS,FS-PL,FS-PS,FBX-N,FBX-P,FST-C,FST-N,FL-C,FL-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-PB
2024-09-18,4.0,24.0,46.0,0.0,330.0,605.0,0.0,142.0,491.0,71.0,64.0,37.0,35.0,0.0,191.0,74.0,0.0,0.0,0.0,374.0,323.0,0.0,0.0,0,0,0,0,0,0
2024-09-19,3.0,23.0,44.0,0.0,307.0,598.0,0.0,116.0,481.0,70.0,62.0,22.0,21.0,0.0,186.0,66.0,0.0,0.0,0.0,360.0,309.0,0.0,0.0,0,0,0,0,0,0
2024-09-20,2.0,22.0,42.0,417.0,284.0,591.0,426.0,290.0,471.0,69.0,60.0,257.0,257.0,191.0,181.0,208.0,141.0,476.0,476.0,546.0,495.0,144.0,142.0,0,0,0,0,0,0
2024-09-21,1.0,21.0,40.0,334.0,261.0,584.0,352.0,264.0,461.0,68.0,58.0,242.0,243.0,182.0,176.0,200.0,132.0,452.0,452.0,532.0,481.0,138.0,134.0,0,0,0,0,0,0
2024-09-22,0.0,20.0,38.0,251.0,238.0,577.0,278.0,238.0,451.0,67.0,56.0,227.0,229.0,173.0,171.0,192.0,123.0,428.0,428.0,518.0,467.0,132.0,126.0,0,0,0,0,0,0
2024-09-23,0.0,19.0,36.0,168.0,215.0,570.0,204.0,212.0,441.0,66.0,54.0,212.0,215.0,164.0,166.0,184.0,114.0,404.0,404.0,504.0,453.0,126.0,118.0,0,0,0,0,0,0
2024-09-24,0.0,18.0,34.0,85.0,192.0,563.0,130.0,186.0,431.0,65.0,52.0,197.0,201.0,155.0,161.0,176.0,105.0,380.0,380.0,490.0,439.0,120.0,110.0,0,0,0,0,0,0
2024-09-25,0.0,17.0,32.0,2.0,169.0,556.0,56.0,160.0,421.0,64.0,50.0,182.0,187.0,146.0,156.0,168.0,96.0,356.0,356.0,476.0,425.0,114.0,102.0,0,0,0,0,0,0
2024-09-26,0.0,16.0,30.0,0.0,146.0,549.0,0.0,134.0,411.0,63.0,48.0,167.0,173.0,137.0,151.0,160.0,87.0,332.0,332.0,462.0,411.0,108.0,94.0,0,0,0,0,0,0
2024-09-27,0.0,15.0,28.0,0.0,123.0,542.0,0.0,108.0,401.0,62.0,46.0,152.0,159.0,128.0,146.0,152.0,78.0,308.0,308.0,448.0,397.0,102.0,86.0,0,0,0,0,0,0
2024-09-28,0.0,14.0,26.0,0.0,100.0,535.0,0.0,82.0,391.0,61.0,44.0,137.0,145.0,119.0,141.0,144.0,69.0,284.0,284.0,434.0,383.0,96.0,78.0,0,0,0,0,0,0
2024-09-29,0.0,13.0,24.0,0.0,77.0,528.0,0.0,56.0,381.0,60.0,42.0,122.0,131.0,110.0,136.0,136.0,60.0,260.0,260.0,420.0,369.0,90.0,70.0,0,0,0,0,0,0
2024-09-30,0.0,12.0,22.0,0.0,54.0,521.0,0.0,30.0,371.0,59.0,40.0,107.0,117.0,101.0,131.0,128.0,51.0,236.0,236.0,406.0,355.0,84.0,62.0,0,0,0,0,0,0
2024-10-01,0.0,11.0,20.0,0.0,31.0,514.0,0.0,4.0,361.0,58.0,38.0,92.0,103.0,92.0,126.0,120.0,42.0,212.0,212.0,392.0,341.0,78.0,54.0,0,0,0,0,0,0
2024-10-02,0.0,10.0,18.0,0.0,8.0,507.0,0.0,0.0,351.0,57.0,36.0,77.0,89.0,83.0,121.0,112.0,33.0,188.0,188.0,378.0,327.0,72.0,46.0,0,0,0,0,0,0
2024-10-03,0.0,9.0,16.0,0.0,0.0,500.0,0.0,0.0,341.0,56.0,34.0,62.0,75.0,74.0,116.0,104.0,24.0,164.0,164.0,364.0,313.0,66.0,38.0,0,0,0,0,0,0
2024-10-04,0.0,8.0,14.0,0.0,0.0,493.0,0.0,0.0,331.0,55.0,32.0,47.0,61.0,65.0,111.0,96.0,15.0,140.0,140.0,350.0,299.0,60.0,30.0,0,0,0,0,0,0
2024-10-05,0.0,7.0,12.0,0.0,0.0,486.0,0.0,0.0,321.0,54.0,30.0,32.0,47.0,56.0,106.0,88.0,6.0,116.0,116.0,336.0,285.0,54.0,22.0,0,0,0,0,0,0
2024-10-06,0.0,6.0,10.0,0.0,0.0,479.0,0.0,0.0,311.0,53.0,28.0,17.0,33.0,47.0,101.0,80.0,0.0,92.0,92.0,322.0,271.0,48.0,14.0,0,0,0,0,0,0
2024-10-07,0.0,5.0,8.0,0.0,0.0,472.0,0.0,0.0,301.0,52.0,26.0,2.0,19.0,38.0,96.0,72.0,0.0,68.0,68.0,308.0,257.0,42.0,6.0,0,0,0,0,0,0
2024-10-08,0.0,4.0,6.0,0.0,0.0,465.0,0.0,0.0,291.0,51.0,24.0,0.0,5.0,29.0,91.0,64.0,0.0,44.0,44.0,294.0,243.0,36.0,0.0,0,0,0,0,0,0
