Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Amount,total sale in 2 months,total avaiable,need to order,Order Date,Order Amount,Order Data,Order Amount2,Order Date2,Order Amount3,Order Data4,Order Amount25
B-BL,43,2.17,18.95,2,1,2,93,815,17,,70,2,68,,0,,,,,,
B-BS,37,1.61,14.95,15,1,15,60,553,15,,70,15,55,,0,,,,,,
B-NL,69,2.17,18.95,46,2,23,150,1308,28,,140,46,94,,0,,,,,,
B-NS,44,1.61,14.95,364,1,364,71,658,18,,70,364,0,,0,,,,,,
B-PL,41,2.17,18.95,99,1,99,89,777,16,,70,99,0,,0,,,,,,
B-PS,55,1.61,14.95,218,2,109,89,822,22,,140,218,0,,0,,,,,,
FB-NXL,2497,3.27,22.95,1478,100,18,8165,57306,999,,7000,4778,2222,,0,10/9/24,3000,15-Oct,300,30-Nov,7500
FB-NL,681,1.58,18.95,215,30,9,1076,12905,272,,2100,1615,485,9/24/24,300,10/9/24,1000,15-Oct,100,1-Dec,2000
FB-NS,203,1.3,14.95,569,7,81,264,3035,81,,490,869,0,,0,,,15-Oct,300,2-Dec,1000
FB-PXL,2222,3.27,22.95,1516,100,20,7266,50995,889,,7000,4816,2184,,0,10/9/24,3000,15-Oct,300,3-Dec,6000
FB-PL,767,1.58,18.95,234,30,9,1212,14535,307,,2100,1834,266,9/24/24,300,10/9/24,1000,15-Oct,300,4-Dec,2000
FB-PS,300,1.3,14.95,458,10,46,390,4485,120,,700,758,0,,0,,,15-Oct,300,5-Dec,1000
FD-N,35,2.86,13.95,73,1,73,100,488,14,,70,73,0,,0,,,,,6-Dec,100
FD-P,50,2.86,13.95,62,2,31,143,698,20,,140,62,78,,0,,,,0,7-Dec,100
FDN-N,444,2.33,16.95,284,20,19,1035,7526,178,,1400,1274,126,9/24/24,90,10/9/24,500,15-Oct,400,8-Dec,500
FDN-P,412,2.33,16.95,258,20,18,960,6983,165,,1400,1248,152,9/24/24,90,10/9/24,500,15-Oct,400,9-Dec,500
FS-NL,271,3.89,22.95,200,10,22,1054,6219,108,,700,700,0,,0,10/9/24,400,15-Oct,100,10-Dec,700
FS-NS,150,3.51,18.95,169,7,34,526,2842,60,,490,669,0,,0,10/9/24,400,15-Oct,100,11-Dec,500
FS-PL,227,3.89,22.95,223,10,28,883,5210,91,,700,623,77,,0,10/9/24,400,,,12-Dec,600
FS-PS,256,3.51,18.95,158,10,18,899,4851,102,,700,558,142,,0,10/9/24,400,,,13-Dec,600
FBX-N,730,3.57,22.95,500,30,21,2606,16754,292,,2100,1500,600,,0,10/9/24,1000,,,14-Dec,2000
FBX-P,711,3.57,22.95,506,30,21,2538,16317,284,,2100,1506,594,,0,10/9/24,1000,,,15-Dec,2000
FST-C,413,2.7,18.95,492,20,35,1115,7826,165,,1400,992,408,,0,10/9/24,500,,,16-Dec,1000
FST-N,414,2.7,18.95,441,20,32,1118,7845,166,,1400,941,459,,0,10/9/24,500,,,17-Dec,1000
FL-C,166,,,169,20,28,,,66,,1400,369,1031,,0,10/9/24,200,,,18-Dec,500
FL-N,238,3.65,22.95,150,20,19,869,5462,95,,1400,350,1050,,0,10/9/24,200,,,19-Dec,500
F-BE90,45,2.1,14.95,0,2,0,94,673,18,,,,,,,,,,,,
F-CH90,70,2.1,14.95,3,2,2,147,1046,28,,,,,,,,,,,,
F-DU90,60,2.1,14.95,12,2,6,126,897,24,,,,,,,,,,,,
F-LI90,71,2.1,14.95,13,2,6,149,1061,28,,,,,,,,,,,,
F-MX90,997,2.1,14.95,2,33,0,2094,14905,399,,,,,,,,,,,,
F-BE,0,1.8,12.95,0,0,,0,0,0,,,,,,,,,,,,
F-CH,0,1.8,12.95,7,0,inf,0,0,0,,,,,,,,,,,,
F-DU,0,1.8,12.95,19,0,inf,0,0,0,,,,,,,,,,,,
F-LI,0,1.8,12.95,7,0,inf,0,0,0,,,,,,,,,,,,
F-PB,199,1.8,12.95,12,7,2,358,2577,80,,,,,,,,,,,,
