SKU,Available Quantity
,
F-MX,1
,
F-PB,169
,
F-DU,19
,
F-LI,7
,
F-CH,7
,
F-BE,0
,
F-MX90,91
,
F-CH90,18
,
F-BE90,36
,
F-DU90,10
,
F-LI90,22
,
FD-P,116
,
FD-N,113
,
FDN-P,-48
,
FDN-N,-49
,
FB-PS,799
,
FB-PL,774
,
FB-NL,1030
,
FB-NS,821
,
FB-PXL,40
,
FB-NXL,574
,
B-BS,63
,
B-BL,41
,
B-PS,274
,
B-PL,143
,
B-NS,402
,
B-NL,103
,
FBX-P,92
,
FBX-N,246
,
FST-C,295
,
FST-N,416
,
FS-PS,232
,
FS-NS,347
,
FS-PL,302
,
FS-NL,217
,
FL-C,151
,
FL-N,218
