SKU,Amazon Sync (Na) FNSKU,Shop Elan Amazon (Na) FNSKU,UPC,Title,Primary Supplier,Brand,Available Quantity,On Hand,Pending (Ready to Ship),Pending (Payment),Reserve,Hold Quantity,Client
ADFLAG-BB-0001,,,4028257132,S Hand Painted American Flag Men's T-Shirt,ALL AMERICAN TEE,Unknown,0,0,0,0,0,0,
ADFLAG-BB-0002,,,4028257133,M Hand Painted American Flag Men's T-shirt,ALL AMERICAN TEE,Unknown,0,0,0,0,0,0,
ADFLAG-BB-0003,,,4028257134,L Hand Painted American Flag Men's T-Shir,ALL AMERICAN TEE,Unknown,0,0,0,0,0,0,
ADFLAG-BB-0004,,,7.84E+11,XL Hand Painted American Flag Men's T-Shir,ALL AMERICAN TEE,Unknown,0,0,0,0,0,0,
ADFLAG-BB-0005,,,4028257136,XXL Hand Painted American Flag Men's T-Shir,ALL AMERICAN TEE,Unknown,0,0,0,0,0,0,
ADFLAG-BB-0006,,,7.84E+11,XXXL Hand Painted American Flag Men's T-Shir,ALL AMERICAN TEE,Unknown,0,0,0,0,0,0,
FR101V-BB-0001,,,7.84E+11,American Flag Vertical Men's T-Shirt - Small,ALL AMERICAN TEE,FR101V,4,4,0,0,0,0,
FR101V-BB-0002,,,7.84E+11,American Flag Vertical Men's T-Shirt - Medium,ALL AMERICAN TEE,FR101V,4,4,0,0,0,0,
FR101V-BB-0003,,,7.84E+11,American Flag Vertical Men's T-Shirt - Large,ALL AMERICAN TEE,FR101V,9,9,0,0,0,0,
FR101V-BB-0004,,,7.84E+11,American Flag Vertical Men's T-Shirt - X Large,ALL AMERICAN TEE,FR101V,18,18,0,0,0,0,
FR101V-BB-0005,,,7.84E+11,American Flag Vertical Men's T-Shirt - XX Large,ALL AMERICAN TEE,FR101V,13,13,0,0,0,0,
XL-BLACK-TSHIRT,,,4029676039,XL-BLACK-TSHIRT,Unknown,Unknown,0,0,0,0,0,0,
Batman Transfer,,,4029676040,Batman Transfer,Unknown,Unknown,0,0,0,0,0,0,
Superman Transfer,,,4029676041,Superman Transfer,Unknown,Unknown,0,0,0,0,0,0,
MBXUSA-BB-0001,X000L77WOP,,7.84E+11,USA American Flag Board Shorts - Small,CALHOUN,MBXUSA-BB,9,9,0,0,0,0,
