product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Bone Refills 45 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX,40,2,1.38
Bone Refills 45 Grams (4 Pack)®,Beef,F-BE,3,83,0.1
Bone Refills 45 Grams (4 Pack)®,Duck,F-DU,5,47,0.17
Bone Refills 45 Grams (4 Pack)®,Chicken,F-CH,8,42,0.28
Bone Refills 45 Grams (4 Pack)®,Liver,F-LI,3,157,0.1
Bone Refills 45 Grams (4 Pack)®,Peanut Butter,F-PB,21,346,0.72
Bone Refills 90 Grams (4 Pack)®,Chicken,F-CH90,16,118,0.55
Bone Refills 90 Grams (4 Pack)®,Beef,F-BE90,24,142,0.83
Bone Refills 90 Grams (4 Pack)®,Duck,F-DU90,16,252,0.55
Bone Refills 90 Grams (4 Pack)®,Liver,F-LI90,14,136,0.48
Bone Refills 90 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX90,190,96,6.55
Freez Double,UP TO 140LBS DOGS / Navy,FD-N,17,165,0.59
Freez Double,UP TO 140LBS DOGS / Purple,FD-P,13,159,0.45
Freez Doughnut,UP TO 140LBS DOGS / Navy,FDN-N,173,497,5.97
Freez Doughnut,UP TO 140LBS DOGS / Purple,FDN-P,207,349,7.14
FreezStar,UP TO 140LBS DOGS / Navy,FST-N,168,62,5.79
FreezStar,UP TO 140LBS DOGS / Coral,FST-C,157,89,5.41
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Coral,BUN-FST-C90,24,89,0.83
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FST-N90,25,62,0.86
Freezball,L - UP TO 40 LBS DOGS / Navy,FB-NL,363,118,12.52
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,646,241,22.28
Freezball,S - UP TO 25 LBS DOGS / Navy,FB-NS,189,230,6.52
Freezball,S - UP TO 25 LBS DOGS / Purple,FB-PS,243,111,8.38
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,688,271,23.72
Freezball,L - UP TO 40 LBS DOGS / Purple,FB-PL,404,63,13.93
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL,7,2,0.24
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS,13,2,0.45
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL,11,2,0.38
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL,4,2,0.14
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,8,2,0.28
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS,12,2,0.41
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS90,51,96,1.76
