product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day,,,,,,,,,
Freezbone,Brown / L - Up to 140lbs Dogs,B-BL,16,71,0.59,,,,,,,,,
Freezbone,Brown / S - Up to 60lbs Dogs,B-BS,10,83,0.37,,,,,,,,,
Freezbone,Navy / L - Up to 140lbs Dogs,B-NL,19,148,0.7,,,,,,,,,
Freezbone,Navy / S - Up to 60lbs Dogs,B-NS,15,422,0.56,,,,,,,,,
Freezbone,Purple / L - Up to 140lbs Dogs,B-PL,30,164,1.11,,,,,,,,,
Freezbone,Purple / S - Up to 60lbs Dogs,B-PS,8,301,0.3,,,,,,,,,
Freezbone Bundle 45 Grams Fillers,Brown / L - Up to 100lbs Dogs,BUN-B-BL,0,,0,,,,,,,,,
Freezbone Bundle 45 Grams Fillers,Brown / L - Up to 140lbs Dogs,BUN-B-BL,0,,0,,,,,,,,,
Freezbone Bundle 90 Grams Fillers,Brown / L - Up to 100lbs Dogs,BUN-B-BL90,0,,0,,,,,,,,,
Freezbone Bundle 90 Grams Fillers,Brown / L - Up to 140lbs Dogs,BUN-B-BL90,0,,0,,,,,,,,,
Freezbone Bundle 45 Grams Fillers,Brown / S - Up to 30lbs Dogs,BUN-B-BS,1,,0.05,,,,,,,,,
Freezbone Bundle 45 Grams Fillers,Brown / S - Up to 60lbs Dogs,BUN-B-BS,0,,0,,,,,,,,,
Freezbone Bundle 90 Grams Fillers,Brown / S - Up to 30lbs Dogs,BUN-B-BS90,0,,0,,,,,,,,,
Freezbone Bundle 90 Grams Fillers,Brown / S - Up to 60lbs Dogs,BUN-B-BS90,0,,0,,,,,,,,,
Freezbone Bundle 45 Grams Fillers,Navy / L - Up to 140lbs Dogs,BUN-B-NL,0,,0,,,,,,,,,
Freezbone Bundle 45 Grams Fillers,Navy / L - Up to 100lbs Dogs,BUN-B-NL,1,,0.05,,,,,,,,,
Freezbone Bundle 90 Grams Fillers,Navy / L - Up to 100lbs Dogs,BUN-B-NL90,1,,0.05,,,,,,,,,
Freezbone Bundle 90 Grams Fillers,Navy / L - Up to 140lbs Dogs,BUN-B-NL90,1,,0.2,,,,,,,,,
