product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Freezball,XL - UP TO 120 LBS DOGS / Purple,FB-PXL,3,184,0.27
Freezball,L - UP TO 40 LBS DOGS / Purple,FB-PL,51,108,1.7
Freezball,L - UP TO 40 LBS DOGS / Navy,FB-NL,45,122,1.5
Freezball,S - UP TO 25 LBS DOGS / Purple,FB-PS,45,185,1.5
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,48,125,2.53
Freezball,XL - UP TO 120 LBS DOGS / Navy,FB-NXL,2,188,0.18
Freezball,S - UP TO 25 LBS DOGS / Navy,FB-NS,35,158,1.17
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,37,144,1.95
Freezball Bundle,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS,1,185,0.03
Freezball Bundle,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL,2,108,0.07
Freezball Bundle,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS,4,158,0.13
Freezball Bundle,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,2,143,0.22
Freezball Bundle,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL,2,122,0.07
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Purple,,2,216,0.1
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Navy,,4,108,0.29
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL90,1,125,0.11
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS90,1,158,0.11
Freezball Bundle 90 Grams Fillers,XL - UP TO 125LBS DOGS / Purple,,2,184,0.18
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Purple,,3,128,0.14
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL90,1,122,0.11
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Navy,,4,175,1.33
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL90,1,108,0.11
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS90,2,185,0.22
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,,7,153,0.7
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL90,4,143,0.44
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,,2,171,0.18
Freezball Bundle 90 Grams Fillers,XL - UP TO 125LBS DOGS / Navy,,3,188,0.3
Freezbone - The Dog Feeders ®,Navy / Large,B-NL,8,126,0.89
Freezbone - The Dog Feeders ®,Purple / Small,B-PS,7,137,0.7
Freezbone - The Dog Feeders ®,Brown / Large,B-BL,7,201,0.7
Freezbone - The Dog Feeders ®,Brown / L - Up to 140lbs Dogs,B-BL,26,176,1.3
Freezbone - The Dog Feeders ®,Navy / S - Up to 60lbs Dogs,B-NS,12,251,0.6
Freezbone - The Dog Feeders ®,Purple / Large,B-PL,10,107,1
Freezbone - The Dog Feeders ®,Navy / Small,B-NS,12,262,1.2
Freezbone - The Dog Feeders ®,Brown / Small,B-BS,7,72,0.7
Freezbone - The Dog Feeders ®,Purple / L - Up to 140lbs Dogs,B-PL,26,82,1.3
Freezbone - The Dog Feeders ®,Navy / L - Up to 140lbs Dogs,B-NL,28,44,1.33
Freezbone - The Dog Feeders ®,Brown / S - Up to 60lbs Dogs,B-BS,25,57,1.25
Freezbone - The Dog Feeders ®,Purple / S - Up to 60lbs Dogs,B-PS,29,110,1.45
Freezbone - The Dog Feeders ® Free Gift,Brown / Large,B-BL,0,220,0
Freezbone - The Dog Feeders ® Free Gift,Purple / Large,B-PL,0,118,0
Freezbone - The Dog Feeders ® Free Gift,Purple / Small,B-PS,0,147,0
Freezbone - The Dog Feeders ® Free Gift,Navy / Small,B-NS,0,276,0
Freezbone - The Dog Feeders ® Free Gift,Brown / Small,B-BS,0,81,0
Freezbone - The Dog Feeders ® Free Gift,Navy / Large,B-NL,0,133,0
Freezbone Bundle - 90 Grams Fillers,Brown / L - Up to 140lbs Dogs,,5,185,0.36
Freezbone Bundle - 90 Grams Fillers,Navy / L - Up to 140lbs Dogs,,2,114,1
Freezbone Bundle - 90 Grams Fillers,Purple / S - Up to 60lbs Dogs,BUN-B-PS90,2,110,0.22
Freezbone Bundle - 90 Grams Fillers,Navy / S - Up to 60lbs Dogs,BUN-B-NS90,4,251,0.44
Freezbone Bundle - 90 Grams Fillers,Purple / L - Up to 140lbs Dogs,,5,91,1
Freezbone Bundle - 90 Grams Fillers,Brown / S - Up to 60lbs Dogs,BUN-B-BS90,2,176,0.22
Freezbone Bundle - 90 Grams Fillers,Purple / L - Up to 140lbs Dogs,BUN-B-PL90,3,82,0.33
Freezbone Bundle - 90 Grams Fillers,Navy / S - Up to 60lbs Dogs,,1,261,0.05
Freezbone Bundle - 90 Grams Fillers,Navy / L - Up to 140lbs Dogs,BUN-B-NL90,2,44,0.22
Freezbone Bundle - 90 Grams Fillers,Brown / L - Up to 140lbs Dogs,BUN-B-BL90,2,176,0.22
Freezbone Bundle - 90 Grams Fillers,Purple / S - Up to 60lbs Dogs,,1,132,0.11
Freezbone Bundle - 90 Grams Fillers,Brown / S - Up to 60lbs Dogs,,6,185,0.43
Freezbone's Bundle,Purple / L - Up to 140lbs Dogs,BUN-B-PL,0,82,0
Freezbone's Bundle,Navy / L - Up to 140lbs Dogs,BUN-B-NL,1,44,0.03
Freezbone's Bundle,Brown / L - Up to 140lbs Dogs,BUN-B-BL,1,176,0.03
Freezbone's Bundle,Purple / S - Up to 60lbs Dogs,BUN-B-PS,3,110,0.1
Freezbone's Bundle,Brown / S - Up to 60lbs Dogs,BUN-B-BS,3,57,0.1
Freezbone's Bundle,Navy / S - Up to 60lbs Dogs,BUN-B-NS,2,251,0.07
Freezbox,UP TO 140LBS DOGS / Purple,FBX-P,72,118,2.4
Freezbox,UP TO 140LBS DOGS / Navy,FBX-N,72,110,2.4
Freezbox Bundle (1 Bone + 45 grams fillers),XL - UP TO 140LBS DOGS / Navy,BUN-FBX-N,0,110,0
Freezbox Bundle (1 Bone + 45 grams fillers),XL - UP TO 140LBS DOGS / Navy,,0,131,0
Freezbox Bundle (1 Bone + 45 grams fillers),XL - UP TO 140LBS DOGS / Purple,,1,147,0.5
Freezbox Bundle (1 Bone + 45 grams fillers),XL - UP TO 140LBS DOGS / Purple,BUN-FBX-P,0,118,0
Freezbox Bundle (1 Bone + 90 grams fillers),XL - UP TO 125LBS DOGS / Purple,,1,173,0.25
