,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,17,2.17,18.95,156,0.5666666666666667,275.29411764705884,37.0,322.0,16.0,,,0.0,0.0,0.0
1,B-BS,20,1.61,14.95,38,0.6666666666666666,57.0,32.0,299.0,19.0,,,0.0,0.0,0.0
2,B-NL,31,2.17,18.95,34,1.0333333333333334,32.90322580645161,67.0,587.0,30.0,2024-01-06,200.0,200.0,0.0,0.0
3,B-NS,32,1.61,14.95,221,1.0666666666666667,207.1875,52.0,478.0,31.0,2024-01-06,200.0,200.0,0.0,0.0
4,B-PL,19,2.17,18.95,65,0.6333333333333333,102.63157894736842,41.0,360.0,18.0,2024-01-06,200.0,200.0,0.0,0.0
5,B-PS,45,1.61,14.95,63,1.5,42.0,72.0,673.0,43.0,2024-01-06,200.0,200.0,0.0,0.0
6,FB-NXL,52,3.27,22.95,90,1.7333333333333334,51.92307692307692,170.0,1193.0,50.0,2024-01-06,200.0,200.0,0.0,0.0
7,FB-NL,36,1.58,18.95,187,1.2,155.83333333333334,57.0,682.0,35.0,,,0.0,0.0,0.0
8,FB-NS,29,1.3,14.95,131,0.9666666666666667,135.51724137931035,38.0,434.0,28.0,,,0.0,0.0,0.0
9,FB-PXL,40,3.27,22.95,87,1.3333333333333333,65.25,131.0,918.0,39.0,2024-01-06,200.0,200.0,0.0,0.0
10,FB-PL,44,1.58,18.95,166,1.4666666666666666,113.18181818181819,70.0,834.0,42.0,,,0.0,0.0,0.0
11,FB-PS,32,1.3,14.95,154,1.0666666666666667,144.375,42.0,478.0,31.0,,,0.0,0.0,0.0
12,FD-N,35,2.86,13.95,500,1.1666666666666667,428.57142857142856,100.0,488.0,34.0,,,0.0,0.0,0.0
13,FD-P,28,2.86,13.95,518,0.9333333333333333,555.0,80.0,391.0,27.0,,,0.0,0.0,0.0
14,FDN-N,152,2.33,16.95,137,5.066666666666666,27.039473684210527,354.0,2576.0,146.0,2024-01-20,500.0,500.0,0.0,0.0
15,FDN-P,152,2.33,16.95,143,5.066666666666666,28.22368421052632,354.0,2576.0,146.0,2024-01-20,500.0,500.0,0.0,0.0
16,FS-NL,77,3.89,22.95,83,2.566666666666667,32.33766233766234,300.0,1767.0,74.0,,,0.0,0.0,0.0
17,FS-NS,58,3.51,18.95,153,1.9333333333333333,79.13793103448276,204.0,1099.0,56.0,,,0.0,0.0,0.0
18,FS-PL,74,3.89,22.95,121,2.466666666666667,49.05405405405405,288.0,1698.0,71.0,,,0.0,0.0,0.0
19,FS-PS,67,3.51,18.95,138,2.2333333333333334,61.7910447761194,235.0,1270.0,65.0,,,0.0,0.0,0.0
20,FBX-N,54,3.57,22.95,56,1.8,31.11111111111111,193.0,1239.0,52.0,2024-01-06,200.0,200.0,0.0,0.0
21,FBX-P,53,3.57,22.95,64,1.7666666666666666,36.22641509433962,189.0,1216.0,51.0,2024-01-06,200.0,200.0,0.0,0.0
22,F-BE90,32,2.1,14.95,47,1.0666666666666667,44.0625,67.0,478.0,31.0,,,0.0,0.0,0.0
23,F-CH90,23,2.1,14.95,31,0.7666666666666667,40.43478260869565,48.0,344.0,22.0,,,0.0,0.0,0.0
24,F-DU90,21,2.1,14.95,73,0.7,104.28571428571429,44.0,314.0,20.0,,,0.0,0.0,0.0
25,F-LI90,21,2.1,14.95,51,0.7,72.85714285714286,44.0,314.0,20.0,,,0.0,0.0,0.0
26,F-MX90,415,2.1,14.95,805,13.833333333333334,58.192771084337345,872.0,6204.0,400.0,,,0.0,0.0,0.0
27,F-BE,4,1.8,12.95,125,0.13333333333333333,937.5,7.0,52.0,4.0,,,0.0,0.0,0.0
28,F-CH,9,1.8,12.95,129,0.3,430.0,16.0,117.0,9.0,,,0.0,0.0,0.0
29,F-DU,5,1.8,12.95,79,0.16666666666666666,474.0,9.0,65.0,5.0,,,0.0,0.0,0.0
30,F-LI,0,1.8,12.95,26,0.0,inf,0.0,0.0,0.0,,,0.0,0.0,0.0
31,F-MX,114,1.8,12.95,1050,3.8,276.3157894736842,205.0,1476.0,110.0,,,0.0,0.0,0.0
32,F-PB,17,1.8,12.95,12,0.5666666666666667,21.176470588235293,31.0,220.0,16.0,,,0.0,4.0,7.0
