,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost,,
0,B-BL,17,2.17,18.95,156,37,322,55,,,0,0,0,,1042.25
1,B-BS,20,1.61,14.95,38,32,299,64,,,0,26,42,,956.8
2,B-NL,31,2.17,18.95,34,67,587,99,1/6/24,200,200,0,0,,1876.05
3,B-NS,32,1.61,14.95,221,52,478,103,1/6/24,200,200,0,0,,1539.85
4,B-PL,19,2.17,18.95,65,41,360,61,1/6/24,200,200,0,0,,1155.95
5,B-PS,45,1.61,14.95,63,72,673,144,1/6/24,200,200,0,0,,2152.8
6,FB-NXL,52,3.27,22.95,90,170,1193,167,1/6/24,200,200,0,0,,3832.65
7,FB-NL,36,1.58,18.95,187,57,682,116,,,0,0,0,,2198.2
8,FB-NS,29,1.3,14.95,131,38,434,93,,,0,0,0,,1390.35
9,FB-PXL,40,3.27,22.95,87,131,918,128,1/6/24,200,200,0,0,,2937.6
10,FB-PL,44,1.58,18.95,166,70,834,141,,,0,0,0,,2671.95
11,FB-PS,32,1.3,14.95,154,42,478,103,,,0,0,0,,1539.85
12,FD-N,35,2.86,13.95,500,100,488,112,,,0,0,0,,1562.4
13,FD-P,28,2.86,13.95,518,80,391,90,,,0,0,0,,1255.5
14,FDN-N,152,2.33,16.95,137,354,2576,488,1/20/24,500,500,0,0,,8271.6
15,FDN-P,152,2.33,16.95,143,354,2576,488,1/20/24,500,500,0,0,,8271.6
16,FS-NL,77,3.89,22.95,83,300,1767,247,,,0,164,638,,5668.65
17,FS-NS,58,3.51,18.95,153,204,1099,186,,,0,33,116,,3524.7
18,FS-PL,74,3.89,22.95,121,288,1698,237,,,0,116,451,,5439.15
19,FS-PS,67,3.51,18.95,138,235,1270,215,,,0,77,270,,4074.25
20,FBX-N,54,3.57,22.95,56,193,1239,173,1/6/24,200,200,0,0,,3970.35
21,FBX-P,53,3.57,22.95,64,189,1216,170,1/6/24,200,200,0,0,,3901.5
22,F-BE90,32,2.1,14.95,47,67,478,103,,,0,56,118,,1539.85
23,F-CH90,23,2.1,14.95,31,48,344,74,,,0,43,90,,1106.3
24,F-DU90,21,2.1,14.95,73,44,314,67,,,0,0,0,,1001.65
25,F-LI90,21,2.1,14.95,51,44,314,67,,,0,16,34,,1001.65
26,F-MX90,415,2.1,14.95,805,872,6204,1332,,,0,527,1107,,19913.4
27,F-BE,4,1.8,12.95,125,7,52,13,,,0,0,0,,168.35
28,F-CH,9,1.8,12.95,129,16,117,29,,,0,0,0,,375.55
29,F-DU,5,1.8,12.95,79,9,65,16,,,0,0,0,,207.2
30,F-LI,0,1.8,12.95,26,0,0,0,,,0,0,0,,0
31,F-MX,114,1.8,12.95,1050,205,1476,366,,,0,0,0,,4739.7
32,F-PB,17,1.8,12.95,12,31,220,55,,,0,43,77,,712.25
