,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,36,2.17,18.95,176,78.0,682.0,213.0,,,0.0,37.0,80.0
1,B-BS,37,1.61,14.95,-117,60.0,553.0,219.0,,,0.0,336.0,541.0
2,B-NL,39,2.17,18.95,44,85.0,739.0,231.0,2024-01-06,200.0,200.0,0.0,0.0
3,B-NS,30,1.61,14.95,251,48.0,448.0,178.0,2024-01-06,200.0,200.0,0.0,0.0
4,B-PL,39,2.17,18.95,82,85.0,739.0,231.0,2024-01-06,200.0,200.0,0.0,0.0
5,B-PS,41,1.61,14.95,110,66.0,613.0,243.0,2024-01-06,200.0,200.0,0.0,0.0
6,FB-NXL,45,3.27,22.95,144,147.0,1033.0,267.0,2024-01-06,200.0,200.0,0.0,0.0
7,FB-NL,48,1.58,18.95,122,76.0,910.0,285.0,,,0.0,163.0,258.0
8,FB-NS,40,1.3,14.95,158,52.0,598.0,237.0,,,0.0,79.0,103.0
9,FB-PXL,52,3.27,22.95,125,170.0,1193.0,308.0,2024-01-06,200.0,200.0,0.0,0.0
10,FB-PL,54,1.58,18.95,108,85.0,1023.0,320.0,,,0.0,212.0,335.0
11,FB-PS,48,1.3,14.95,185,62.0,718.0,285.0,,,0.0,100.0,130.0
12,FD-N,35,2.86,13.95,553,100.0,488.0,207.0,,,0.0,0.0,0.0
13,FD-P,46,2.86,13.95,544,132.0,642.0,273.0,,,0.0,0.0,0.0
14,FDN-N,135,2.33,16.95,87,315.0,2288.0,800.0,2024-01-20,500.0,500.0,213.0,496.0
15,FDN-P,130,2.33,16.95,95,303.0,2204.0,771.0,2024-01-20,500.0,500.0,176.0,410.0
16,FS-NL,89,3.89,22.95,70,346.0,2043.0,528.0,,,0.0,458.0,1782.0
17,FS-NS,55,3.51,18.95,108,193.0,1042.0,326.0,,,0.0,218.0,765.0
18,FS-PL,73,3.89,22.95,98,284.0,1675.0,433.0,,,0.0,335.0,1303.0
19,FS-PS,75,3.51,18.95,106,263.0,1421.0,445.0,,,0.0,339.0,1190.0
20,FBX-N,75,3.57,22.95,110,268.0,1721.0,445.0,2024-01-06,200.0,200.0,135.0,482.0
21,FBX-P,73,3.57,22.95,118,261.0,1675.0,433.0,2024-01-06,200.0,200.0,115.0,411.0
22,F-BE90,24,2.1,14.95,26,50.0,359.0,142.0,,,0.0,116.0,244.0
23,F-CH90,49,2.1,14.95,2,103.0,733.0,290.0,,,0.0,288.0,605.0
24,F-DU90,13,2.1,14.95,37,27.0,194.0,77.0,,,0.0,40.0,84.0
25,F-LI90,26,2.1,14.95,24,55.0,389.0,154.0,,,0.0,130.0,273.0
26,F-MX90,299,2.1,14.95,388,628.0,4470.0,1772.0,,,0.0,1384.0,2906.0
27,F-BE,3,1.8,12.95,129,5.0,39.0,18.0,,,0.0,0.0,0.0
28,F-CH,13,1.8,12.95,138,23.0,168.0,77.0,,,0.0,0.0,0.0
29,F-DU,9,1.8,12.95,84,16.0,117.0,53.0,,,0.0,0.0,0.0
30,F-LI,0,1.8,12.95,4,0.0,0.0,0.0,,,0.0,0.0,0.0
31,F-MX,189,1.8,12.95,984,340.0,2448.0,1120.0,,,0.0,136.0,245.0
32,F-PB,29,1.8,12.95,246,52.0,376.0,172.0,,,0.0,0.0,0.0
