,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,17,2.17,18.95,156,36.89,322.15,54.549071703150375,,,0.0,0.0,0.0
1,B-BS,20,1.61,14.95,38,32.2,299.0,64.17537847429456,,,0.0,90.35075694858912,145.4647186872285
2,B-NL,31,2.17,18.95,34,67.27,587.4499999999999,99.47183663515656,,,0.0,164.94367327031313,357.92777099657945
3,B-NS,32,1.61,14.95,221,51.52,478.4,102.68060555887129,,,0.0,0.0,0.0
4,B-PL,19,2.17,18.95,65,41.23,360.05,60.96660955057983,,,0.0,56.933219101159665,123.54508544951646
5,B-PS,45,1.61,14.95,63,72.45,672.75,144.39460156716277,,,0.0,225.78920313432553,363.52061704626414
6,FB-NXL,52,3.27,22.95,90,170.04,1193.3999999999999,166.85598403316584,,,0.0,243.71196806633168,796.9381355769046
7,FB-NL,36,1.58,18.95,187,56.88,682.1999999999999,115.51568125373021,,,0.0,44.031362507460415,69.56955276178746
8,FB-NS,29,1.3,14.95,131,37.7,433.54999999999995,93.0542987877271,,,0.0,55.10859757545421,71.64117684809048
9,FB-PXL,40,3.27,22.95,87,130.8,918.0,128.35075694858912,,,0.0,169.70151389717824,554.9239504437728
10,FB-PL,44,1.58,18.95,166,69.52000000000001,833.8,141.18583264344804,,,0.0,116.37166528689608,183.86723115329582
11,FB-PS,32,1.3,14.95,154,41.6,478.4,102.68060555887129,,,0.0,51.361211117742585,66.76957445306536
12,FD-N,35,2.86,13.95,500,100.1,488.25,112.30691233001548,,,0.0,0.0,0.0
13,FD-P,28,2.86,13.95,518,80.08,390.59999999999997,89.84552986401238,,,0.0,0.0,0.0
14,FDN-N,152,2.33,16.95,137,354.16,2576.4,487.73287640463866,2024-01-15,500.0,500.0,338.4657528092773,788.6252040456162
15,FDN-P,152,2.33,16.95,143,354.16,2576.4,487.73287640463866,2024-02-01,500.0,500.0,332.4657528092773,774.6452040456162
16,FS-NL,77,3.89,22.95,83,299.53000000000003,1767.1499999999999,247.07520712603406,,,0.0,411.1504142520681,1599.375111440545
17,FS-NS,58,3.51,18.95,153,203.57999999999998,1099.1,186.1085975754542,,,0.0,219.21719515090842,769.4523549796885
18,FS-PL,74,3.89,22.95,121,287.86,1698.3,237.44890035488987,,,0.0,353.89780070977974,1376.6624447610432
19,FS-PS,67,3.51,18.95,138,235.17,1269.6499999999999,214.98751788888677,,,0.0,291.97503577777354,1024.8323755799852
20,FBX-N,54,3.57,22.95,56,192.78,1239.3,173.2735218805953,,,0.0,290.5470437611906,1037.2529462274504
21,FBX-P,53,3.57,22.95,64,189.20999999999998,1216.35,170.06475295688057,,,0.0,276.12950591376114,985.7823361121273
22,F-BE90,32,2.1,14.95,6,67.2,478.4,102.68060555887129,,,0.0,199.36121111774258,418.65854334725947
23,F-CH90,23,2.1,14.95,1,48.300000000000004,343.84999999999997,73.80168524543875,,,0.0,146.6033704908775,307.8670780308428
24,F-DU90,21,2.1,14.95,35,44.1,313.95,67.38414739800929,,,0.0,99.76829479601858,209.51341907163902
25,F-LI90,21,2.1,14.95,10,44.1,313.95,67.38414739800929,,,0.0,124.76829479601858,262.013419071639
26,F-MX90,415,2.1,14.95,276,871.5,6204.25,1331.639103341612,,,0.0,2387.278206683224,5013.284234034771
27,F-BE,4,1.8,12.95,125,7.2,51.8,12.835075694858912,,,0.0,0.0,0.0
28,F-CH,9,1.8,12.95,129,16.2,116.55,28.878920313432552,,,0.0,0.0,0.0
29,F-DU,5,1.8,12.95,79,9.0,64.75,16.04384461857364,,,0.0,0.0,0.0
30,F-LI,0,1.8,12.95,26,0.0,0.0,0.0,,,0.0,0.0,0.0
31,F-MX,114,1.8,12.95,1050,205.20000000000002,1476.3,365.79965730347897,,,0.0,0.0,0.0
32,F-PB,17,1.8,12.95,12,30.6,220.14999999999998,54.549071703150375,,,0.0,97.09814340630075,174.77665813134135
